,batch_size,char_embeddings_dim,clean_f1,clean_n_predicted_entities,clean_n_true_entities,clean_precision,clean_recall,dropout_rate,embeddings_dropout,epochs,filter_width,learning_rate,learning_rate_decay,n_filters,net_type,noise_level,noised_f1,noised_n_predicted_entities,noised_n_true_entities,noised_precision,noised_recall,token_embeddings_dim,use_batch_norm,use_capitalization,use_crf
0,8,25,85.50790893297979,5289,5648,88.40990735488751,82.79036827195468,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.005,84.50214866965347,5289,5648,87.37001323501607,81.81657223796034,300,True,False,True
1,8,25,85.35427319211104,5304,5648,88.12217194570135,82.75495750708215,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.01,83.86209426004035,5258,5648,86.97223278813237,80.96671388101983,300,True,False,True
2,8,25,84.84904102046436,5249,5648,88.07391884168413,81.85198300283287,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.025,81.2017486745419,5103,5648,85.5379188712522,77.28399433427762,300,True,False,True
3,8,25,83.85674931129478,5242,5648,87.10415871804655,80.84277620396601,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.05,77.53904401325131,4917,5648,83.302826926988,72.52124645892351,300,True,False,True
4,8,25,83.37970691893898,5134,5648,87.55356447214648,79.5856940509915,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.075,74.83821114652758,4705,5648,82.33793836344314,68.59065155807366,300,True,False,True
5,8,25,82.55145559058039,5138,5648,86.64850136239782,78.8243626062323,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.1,72.70757411602482,4505,5648,81.93118756936737,65.35056657223797,300,True,False,True
6,8,25,80.557880055788,5107,5648,84.82475034266693,76.69971671388102,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.125,68.3406113537118,4428,5648,77.75519421860885,60.95963172804532,300,True,False,True
7,8,25,80.2189645574318,5130,5648,84.26900584795321,76.54036827195468,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.15,65.91182364729458,4332,5648,75.92336103416436,58.23300283286119,300,True,False,True
8,8,25,78.22710483947344,4911,5648,84.09692526980248,73.12322946175638,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.175,63.50611040876528,3844,5648,78.40790842872008,53.36402266288952,300,True,False,True
9,8,25,78.20245979186376,4922,5648,83.96993092238927,73.17634560906515,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.2,61.066440964875156,3804,5648,75.86750788643533,51.09773371104816,300,True,False,True
10,8,25,85.87025748339552,5343,5648,88.32116788321167,83.55169971671388,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.0,85.84948584948586,5341,5648,88.31679460775136,83.51628895184136,300,True,False,True
