,batch_size,cell_type,char_embeddings_dim,char_embeddings_type,clean_f1,clean_n_predicted_entities,clean_n_true_entities,clean_precision,clean_recall,dropout_rate,embeddings_dropout,epochs,filter_width,learning_rate,learning_rate_decay,logging,n_filters,net_type,noise_level,noised_f1,noised_n_predicted_entities,noised_n_true_entities,noised_precision,noised_recall,token_embeddings_dim,trainable_embeddings,use_batch_norm,use_capitalization,use_char_embeddins,use_crf
0,8,lstm,25,cnn,38.91919979215381,3929,3769,38.126749809111736,39.74529052799151,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.0,59.233226837060705,1633,1497,56.766687078995716,61.92384769539078,300,True,True,False,True,True
1,8,lstm,25,cnn,46.869290815479154,2252,3769,62.65541740674956,37.436985937914564,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.005,64.167916041979,1171,1497,73.0999146029035,57.181028724114896,300,True,True,False,True,True
2,8,lstm,25,cnn,45.36643427988437,2112,3769,63.16287878787879,35.39400371451313,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.01,63.775901765157336,1109,1497,74.93237150586114,55.51102204408818,300,True,True,False,True,True
3,8,lstm,25,cnn,47.58809442353746,2077,3769,66.97159364467983,36.906341204563546,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.015,65.27616840478949,1092,1497,77.38095238095238,56.44622578490314,300,True,True,False,True,True
4,8,lstm,25,cnn,47.01181375955524,1987,3769,68.0926019124308,35.8981162111966,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.02,62.31477773327993,1000,1497,77.8,51.97060788243153,300,True,True,False,True,True
5,8,lstm,25,cnn,47.75625103493956,2270,3769,63.52422907488987,38.25948527460865,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.025,63.48122866894198,1140,1497,73.42105263157895,55.91182364729459,300,True,True,False,True,True
6,8,lstm,25,cnn,48.517608517608515,2336,3769,63.398972602739725,39.294242504643144,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.03,63.84413638066691,1172,1497,72.6962457337884,56.91382765531062,300,True,True,False,True,True
7,8,lstm,25,cnn,45.901639344262286,2087,3769,64.39865836128413,35.659326081188645,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.035,61.57372039724981,1121,1497,71.90008920606601,53.841015364061455,300,True,True,False,True,True
8,8,lstm,25,cnn,46.77500418830624,2200,3769,63.45454545454545,37.0390023879013,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.04,61.22760198246282,1126,1497,71.31438721136767,53.640614562458246,300,True,True,False,True,True
9,8,lstm,25,cnn,46.28344895936571,2285,3769,61.3129102844639,37.17166357123906,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.045,61.34874759152216,1098,1497,72.49544626593807,53.17301269205077,300,True,True,False,True,True
10,8,lstm,25,cnn,47.31325902512061,2242,3769,63.42551293487957,37.728840541257625,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.05,61.86440677966102,1099,1497,73.06642402183803,53.640614562458246,300,True,True,False,True,True
11,8,lstm,25,cnn,46.28127112914132,2147,3769,63.76339077782953,36.32263199787742,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.060000000000000005,58.54049719326383,997,1497,73.21965897693079,48.764195056780224,300,True,True,False,True,True
12,8,lstm,25,cnn,45.07958240629813,2074,3769,63.50048216007715,34.94295569116476,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.07,58.622062923138195,1014,1497,72.58382642998028,49.16499665998664,300,True,True,False,True,True
13,8,lstm,25,cnn,44.803393702072114,2360,3769,58.17796610169491,36.428760944547626,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.08000000000000002,57.165109034267914,1071,1497,68.53408029878618,49.0313961255845,300,True,True,False,True,True
14,8,lstm,25,cnn,43.197850184749754,2185,3769,58.8558352402746,34.12045635447068,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.09000000000000001,54.40329218106995,933,1497,70.84673097534834,44.15497661990648,300,True,True,False,True,True
15,8,lstm,25,cnn,44.79921000658328,2307,3769,58.99436497615952,36.110374104537016,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.1,56.730394069449865,1066,1497,68.19887429643528,48.56379425517702,300,True,True,False,True,True
16,8,lstm,25,cnn,43.80165289256199,2039,3769,62.38352133398725,33.74900504112497,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.11000000000000001,55.38836925579504,962,1497,70.79002079002079,45.49098196392786,300,True,True,False,True,True
17,8,lstm,25,cnn,41.98723477660859,2028,3769,60.009861932938854,32.28973202440966,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.12000000000000001,52.17021276595745,853,1497,71.86400937866354,40.94856379425518,300,True,True,False,True,True
18,8,lstm,25,cnn,40.2997785726452,2102,3769,56.279733587059944,31.38763597771292,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.13,51.46633622470054,924,1497,67.42424242424244,41.616566466265866,300,True,True,False,True,True
19,8,lstm,25,cnn,42.275895607067596,2400,3769,54.333333333333336,34.5980366144866,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.14,53.47419748069891,964,1497,68.25726141078839,43.954575818303276,300,True,True,False,True,True
20,8,lstm,25,cnn,40.563991323210416,1763,3769,63.6415201361316,29.76916954099231,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.15000000000000002,49.551971326164875,735,1497,75.23809523809526,36.94054776219105,300,True,True,False,True,True
21,8,lstm,25,cnn,37.87195671776375,1776,3769,59.12162162162162,27.858848500928627,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.16000000000000003,49.28825622775801,751,1497,73.76830892143809,37.00734802939212,300,True,True,False,True,True
22,8,lstm,25,cnn,38.219710349699746,1893,3769,57.15795034337031,28.707880074290262,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.17000000000000004,47.31182795698925,735,1497,71.83673469387755,35.27054108216433,300,True,True,False,True,True
23,8,lstm,25,cnn,37.406665452558734,1722,3769,59.63995354239257,27.248607057574954,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.18000000000000005,46.73068129858253,690,1497,74.05797101449275,34.13493653974616,300,True,True,False,True,True
24,8,lstm,25,cnn,38.97944720056697,1875,3769,58.666666666666664,29.185460334306182,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.19,47.66227871084884,706,1497,74.36260623229462,35.07014028056112,300,True,True,False,True,True
