,batch_size,cell_type,char_embeddings_dim,char_embeddings_type,clean_f1,clean_n_predicted_entities,clean_n_true_entities,clean_precision,clean_recall,dropout_rate,embeddings_dropout,epochs,filter_width,learning_rate,learning_rate_decay,logging,n_filters,net_type,noise_level,noised_f1,noised_n_predicted_entities,noised_n_true_entities,noised_precision,noised_recall,token_embeddings_dim,use_batch_norm,use_capitalization,use_char_embeddins,use_crf
0,8,,25,cnn,43.824270795822834,1785,3769,68.17927170868347,32.28973202440966,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.0,63.61829025844931,1018,1497,78.58546168958743,53.440213760855045,300,True,False,False,True
1,8,,25,cnn,42.3728813559322,1777,3769,66.12267867191896,31.17537808437251,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.005,60.92874299439551,1001,1497,76.02397602397602,50.83500334001336,300,True,False,False,True
2,8,,25,cnn,42.374935087415615,2008,3769,60.95617529880478,32.47545768108252,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.01,60.208413739868774,1094,1497,71.29798903107861,52.104208416833664,300,True,False,False,True
3,8,,25,cnn,43.67500857044909,2065,3769,61.69491525423729,33.80206951446007,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.015,59.789801479174784,1072,1497,71.64179104477611,51.30260521042084,300,True,False,False,True
4,8,,25,cnn,42.45364754808525,2002,3769,61.18881118881119,32.501989917750066,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.02,58.32681782642689,1061,1497,70.311027332705,49.83299933199733,300,True,False,False,True
5,8,,25,cnn,42.78093883357041,1855,3769,64.85175202156334,31.918280711063943,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.025,56.35313531353135,927,1497,73.67853290183388,45.62458249832999,300,True,False,False,True
6,8,,25,cnn,41.11486486486486,2151,3769,56.57833565783356,32.28973202440966,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.03,52.47950019523623,1064,1497,63.1578947368421,44.88977955911824,300,True,False,False,True
7,8,,25,cnn,43.16282179872952,2213,3769,58.33709896068685,34.253117537808436,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.035,55.853098699311396,1117,1497,65.35362578334825,48.764195056780224,300,True,False,False,True
8,8,,25,cnn,41.731724627395316,1867,3769,62.9887520085699,31.201910321040064,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.04,52.465810194778285,916,1497,69.10480349344978,42.28456913827655,300,True,False,False,True
9,8,,25,cnn,40.30118321979204,1809,3769,62.13377556661139,29.822234014327407,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.045,52.81923714759535,915,1497,69.61748633879782,42.55177020708083,300,True,False,False,True
