,batch_size,cell_type,char_embeddings_dim,char_embeddings_type,clean_f1,clean_n_predicted_entities,clean_n_true_entities,clean_precision,clean_recall,dropout_rate,embeddings_dropout,epochs,filter_width,learning_rate,learning_rate_decay,logging,n_filters,net_type,noise_level,noised_f1,noised_n_predicted_entities,noised_n_true_entities,noised_precision,noised_recall,token_embeddings_dim,trainable_embeddings,use_batch_norm,use_capitalization,use_char_embeddins,use_crf
0,8,,25,cnn,36.22235505080693,1250,3769,72.72,24.117803130803928,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.0,58.55122160308616,836,1497,81.69856459330144,45.62458249832999,300,False,True,False,True,True
1,8,,25,cnn,34.71376370280146,1157,3769,73.8980121002593,22.68506235075617,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.005,56.55414291977203,784,1497,82.2704081632653,43.08617234468938,300,False,True,False,True,True
2,8,,25,cnn,34.49490994518402,1339,3769,65.79536967886483,23.374900504112496,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.01,54.74420638390905,790,1497,79.24050632911393,41.816967267869074,300,False,True,False,True,True
3,8,,25,cnn,36.64424218440839,1285,3769,72.06225680933852,24.568851154152295,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.015,57.01943844492441,818,1497,80.68459657701712,44.08817635270541,300,False,True,False,True,True
4,8,,25,cnn,32.98926507018992,1075,3769,74.32558139534883,21.19925709737331,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.02,53.42281879194631,738,1497,80.89430894308943,39.879759519038075,300,False,True,False,True,True
5,8,,25,cnn,36.02532131210435,1444,3769,65.02770083102493,24.91377023083046,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.025,55.616786774056806,862,1497,76.10208816705337,43.820975283901134,300,False,True,False,True,True
6,8,,25,cnn,31.804155523554822,1092,3769,70.78754578754578,20.509418944016982,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.03,53.730017761989345,755,1497,80.13245033112582,40.41416165664663,300,False,True,False,True,True
7,8,,25,cnn,31.982073742106337,1140,3769,68.85964912280701,20.827805784027593,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.035,53.93061045234958,780,1497,78.71794871794872,41.015364061456246,300,False,True,False,True,True
8,8,,25,cnn,34.222404595814524,1105,3769,75.47511312217195,22.127885380737595,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.04,53.513513513513516,723,1497,82.15767634854772,39.67935871743487,300,False,True,False,True,True
9,8,,25,cnn,32.181018227529854,1004,3769,76.49402390438247,20.376757760679226,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.045,51.62187210379982,661,1497,84.26626323751891,37.20774883099533,300,False,True,False,True,True
