,batch_size,char_embeddings_dim,char_embeddings_type,clean_f1,clean_n_predicted_entities,clean_n_true_entities,clean_precision,clean_recall,dropout_rate,embeddings_dropout,epochs,filter_width,learning_rate,learning_rate_decay,n_filters,net_type,noise_level,noised_f1,noised_n_predicted_entities,noised_n_true_entities,noised_precision,noised_recall,token_embeddings_dim,use_batch_norm,use_capitalization,use_char_embeddins,use_crf
0,8,25,cnn,68.70042708968883,2023,2894,83.48986653484923,58.36212854181064,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.0,68.68645790971941,2024,2894,83.44861660079052,58.36212854181064,300,True,False,True,True
1,8,25,cnn,67.39349888956188,2059,2894,81.05876639145217,57.67104353835522,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.005,66.23402960859868,2037,2894,80.16691212567501,56.42709053213545,300,True,False,True,True
2,8,25,cnn,67.14638157894737,1970,2894,82.89340101522842,56.42709053213545,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.01,65.5458696554587,1924,2894,82.06860706860707,54.561161022805805,300,True,False,True,True
3,8,25,cnn,67.05574562286174,2075,2894,80.28915662650603,57.5673807878369,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.015,64.7226753670473,2010,2894,78.95522388059702,54.837595024187976,300,True,False,True,True
4,8,25,cnn,66.69449081803006,1898,2894,84.19388830347735,55.21769177608846,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.02,63.78978850672933,1787,2894,83.54784555120314,51.589495507947476,300,True,False,True,True
5,8,25,cnn,66.50306748466258,1996,2894,81.4629258517034,56.185210780926056,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.025,64.12658754944826,1909,2894,80.67050811943426,53.213545266067726,300,True,False,True,True
6,8,25,cnn,67.03680855439029,1969,2894,82.78313864906043,56.32342778161714,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.03,63.252885624344174,1871,2894,80.54516301443078,52.073255010366275,300,True,False,True,True
7,8,25,cnn,66.28336755646818,1976,2894,81.68016194331983,55.7705597788528,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.035,61.0615711252654,1816,2894,79.18502202643172,49.68901174844506,300,True,False,True,True
8,8,25,cnn,65.46822742474917,1890,2894,82.85714285714286,54.11195577055978,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.04,60.54569077522737,1724,2894,81.09048723897912,48.30684174153421,300,True,False,True,True
9,8,25,cnn,65.71829292726909,2097,2894,78.20696232713401,56.66897028334485,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.045,60.22042004574756,1915,2894,75.61357702349869,50.03455425017277,300,True,False,True,True
10,8,25,cnn,63.8034188034188,1786,2894,83.59462486002239,51.589495507947476,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.05,58.8235294117647,1611,2894,82.24705152079454,45.78438147892191,300,True,False,True,True
11,8,25,cnn,63.68569568048622,1713,2894,85.63922942206655,50.69108500345543,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.060000000000000005,56.25142336597586,1497,2894,82.49832999331997,42.67449896337249,300,True,False,True,True
12,8,25,cnn,63.1578947368421,1932,2894,78.88198757763975,52.660677263303384,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.07,55.97731239092496,1690,2894,75.9171597633136,44.33310297166552,300,True,False,True,True
13,8,25,cnn,62.769100886449976,1844,2894,80.63991323210412,51.38217000691085,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.08000000000000002,54.42954495493515,1655,2894,74.8036253776435,42.77816171389081,300,True,False,True,True
14,8,25,cnn,62.26333907056798,1754,2894,82.49714937286203,50.0,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.09000000000000001,53.1816070599164,1412,2894,81.09065155807366,39.564616447823084,300,True,False,True,True
15,8,25,cnn,60.4549431321085,1678,2894,82.35995232419548,47.75397373876987,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.1,51.52797367183827,1360,2894,80.58823529411765,37.87145818935729,300,True,False,True,True
16,8,25,cnn,59.41738937069158,1603,2894,83.34373050530256,46.16447823082239,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.11000000000000001,47.99423492673554,1269,2894,78.72340425531915,34.51969592259848,300,True,False,True,True
17,8,25,cnn,59.69818020417222,1612,2894,83.43672456575682,46.475466482377335,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.12000000000000001,48.68452239867268,1325,2894,77.50943396226417,35.48721492743608,300,True,False,True,True
18,8,25,cnn,60.44330775788576,1798,2894,78.86540600667408,48.997926744989634,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.13,48.03513638465095,1432,2894,72.55586592178771,35.90186592950933,300,True,False,True,True
19,8,25,cnn,57.52252252252252,1546,2894,82.60025873221215,44.12577747062889,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.14,44.81166464155529,1221,2894,75.51187551187552,31.859018659295092,300,True,False,True,True
20,8,25,cnn,56.70079635949943,1501,2894,83.01132578281145,43.05459571527298,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.15000000000000002,44.28465162410116,1139,2894,78.40210711150132,30.856945404284726,300,True,False,True,True
21,8,25,cnn,56.39300134589502,1564,2894,80.37084398976982,43.43469246717346,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.16000000000000003,44.50881004103307,1249,2894,73.81905524419535,31.859018659295092,300,True,False,True,True
22,8,25,cnn,53.12282331088925,1413,2894,80.96249115357395,39.53006219765031,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.17000000000000004,37.30036063884596,988,2894,73.27935222672065,25.017277125086384,300,True,False,True,True
23,8,25,cnn,55.065055762081776,1410,2894,84.04255319148936,40.94678645473393,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.18000000000000005,39.82528263103802,998,2894,77.65531062124248,26.77954388389772,300,True,False,True,True
24,8,25,cnn,53.67323290845887,1421,2894,81.49190710767066,40.01382170006911,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.19,39.91925309109261,1069,2894,73.99438727782974,27.332411886662058,300,True,False,True,True
25,8,25,cnn,50.92304003836011,1277,2894,83.1636648394675,36.696613683483065,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.2,35.441020191285865,870,2894,76.66666666666667,23.047684865238423,300,True,False,True,True
