,batch_size,char_embeddings_dim,char_embeddings_type,clean_f1,clean_n_predicted_entities,clean_n_true_entities,clean_precision,clean_recall,dropout_rate,embeddings_dropout,epochs,filter_width,learning_rate,learning_rate_decay,n_filters,net_type,noise_level,noised_f1,noised_n_predicted_entities,noised_n_true_entities,noised_precision,noised_recall,token_embeddings_dim,use_batch_norm,use_capitalization,use_char_embeddins,use_crf
0,8,25,cnn,68.87525562372188,1996,2894,84.3687374749499,58.18935729094679,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.0,68.87525562372188,1996,2894,84.3687374749499,58.18935729094679,300,True,False,False,True
1,8,25,cnn,67.91290057518489,1974,2894,83.73860182370821,57.11817553559088,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.005,67.36711990111249,1960,2894,83.41836734693878,56.496199032480995,300,True,False,False,True
2,8,25,cnn,68.1619937694704,1921,2894,85.42425819885476,56.70352453351762,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.01,66.7504714016342,1879,2894,84.77913783927622,55.044920525224605,300,True,False,False,True
3,8,25,cnn,67.6829268292683,2026,2894,82.18163869693979,57.532826537664135,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.015,65.13742508782806,1945,2894,81.02827763496144,54.45749827228749,300,True,False,False,True
4,8,25,cnn,66.2878787878788,1858,2894,84.76856835306782,54.42294402211472,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.02,63.73955879203257,1775,2894,83.83098591549296,51.41672425708362,300,True,False,False,True
5,8,25,cnn,66.03187745808322,1937,2894,82.34383066597832,55.11402902557015,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.025,63.45381526104418,1837,2894,81.70930865541644,51.865929509329646,300,True,False,False,True
6,8,25,cnn,67.68796613585971,2067,2894,81.22883405902274,58.01658604008293,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.03,62.78063851699278,1961,2894,77.71545130035696,52.660677263303384,300,True,False,False,True
7,8,25,cnn,66.77478207987026,2039,2894,80.77488965179009,56.91085003455425,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.035,62.32519307034023,1897,2894,78.70321560358461,51.589495507947476,300,True,False,False,True
8,8,25,cnn,65.91431556948798,1891,2894,83.39502908514014,54.49205252246026,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.04,61.17596195417207,1732,2894,81.69745958429561,48.894263994471316,300,True,False,False,True
9,8,25,cnn,64.84585143803021,1939,2894,80.81485301701908,54.14651002073255,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.045,59.722518676627544,1791,2894,78.11278615298716,48.34139599170698,300,True,False,False,True
10,8,25,cnn,65.01261564339781,1862,2894,83.02900107411385,53.420870767104354,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.05,59.304614038924115,1679,2894,80.76235854675402,46.85556323427782,300,True,False,False,True
11,8,25,cnn,64.5749417002332,1823,2894,83.54360943499725,52.626123013130616,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.060000000000000005,56.36771300448431,1566,2894,80.26819923371647,43.43469246717346,300,True,False,False,True
12,8,25,cnn,63.31447726796564,1879,2894,80.4151144225652,52.21147201105736,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.07,56.84628975265017,1634,2894,78.76376988984087,44.471319972356596,300,True,False,False,True
13,8,25,cnn,61.965168780907334,1757,2894,82.01479795105293,49.79267449896337,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.08000000000000002,54.58267000227428,1503,2894,79.84031936127745,41.4651002073255,300,True,False,False,True
14,8,25,cnn,63.594080338266394,1836,2894,81.91721132897604,51.969592259847964,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.09000000000000001,54.415060510981625,1568,2894,77.4234693877551,41.9488597097443,300,True,False,False,True
15,8,25,cnn,61.804804154944826,1727,2894,82.68674001158078,49.34346924671735,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.1,51.66395159413545,1403,2894,79.11617961511048,38.35521769177609,300,True,False,False,True
16,8,25,cnn,58.90348889895787,1520,2894,85.52631578947368,44.92052522460263,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.11000000000000001,47.78674492540963,1195,2894,81.75732217573221,33.75950241879751,300,True,False,False,True
17,8,25,cnn,59.309107222969935,1564,2894,84.52685421994885,45.68071872840359,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.12000000000000001,47.932692307692314,1266,2894,78.75197472353871,34.45058742225294,300,True,False,False,True
18,8,25,cnn,59.67497291440954,1721,2894,80.0116211504939,47.58120248790601,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.13,47.735849056603776,1346,2894,75.18573551263002,34.968901174844504,300,True,False,False,True
19,8,25,cnn,56.36446886446886,1474,2894,83.51424694708277,42.53628196268141,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.14,44.4057682744903,1128,2894,79.16666666666667,30.856945404284726,300,True,False,False,True
20,8,25,cnn,55.89600742804085,1414,2894,85.14851485148515,41.603317208016584,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.15000000000000002,43.71833839918947,1054,2894,81.8785578747628,29.82031789910159,300,True,False,False,True
21,8,25,cnn,56.41141821477118,1520,2894,81.90789473684211,43.020041465100206,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.16000000000000003,44.06614785992218,1218,2894,74.38423645320196,31.306150656530754,300,True,False,False,True
22,8,25,cnn,54.758620689655174,1456,2894,81.79945054945055,41.15411195577056,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.17000000000000004,38.41604525584983,995,2894,75.07537688442211,25.812024879060125,300,True,False,False,True
23,8,25,cnn,54.668534080298784,1390,2894,84.24460431654676,40.46302695231513,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.18000000000000005,39.44026949987043,965,2894,78.860103626943,26.29578438147892,300,True,False,False,True
24,8,25,cnn,55.46642218656887,1469,2894,82.36895847515316,41.81064270905321,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.19,40.88508926326377,1083,2894,75.06925207756233,28.092605390463028,300,True,False,False,True
25,8,25,cnn,51.123459772892,1245,2894,84.97991967871485,36.55839668279199,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.2,36.08302288451304,864,2894,78.47222222222223,23.42778161713891,300,True,False,False,True
