,batch_size,char_embeddings_dim,char_embeddings_type,clean_f1,clean_n_predicted_entities,clean_n_true_entities,clean_precision,clean_recall,dropout_rate,embeddings_dropout,epochs,filter_width,learning_rate,learning_rate_decay,n_filters,net_type,noise_level,noised_f1,noised_n_predicted_entities,noised_n_true_entities,noised_precision,noised_recall,token_embeddings_dim,use_batch_norm,use_capitalization,use_char_embeddins,use_crf
0,8,25,cnn,81.42116950407107,2510,2894,87.64940239043824,76.01935038009675,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.0,81.40610545790935,2511,2894,87.61449621664674,76.01935038009675,300,True,False,False,True
1,8,25,cnn,82.27106227106228,2566,2894,87.52922837100546,77.60884588804423,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.005,81.25458547322084,2558,2894,86.591086786552,76.53766413268832,300,True,False,False,True
2,8,25,cnn,83.690036900369,2526,2894,89.78622327790974,78.36903939184519,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.01,81.58482142857142,2482,2894,88.35616438356165,75.77747062888736,300,True,False,False,True
3,8,25,cnn,83.72178381354377,2555,2894,89.27592954990216,78.81824464409122,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.015,80.40014820303816,2504,2894,86.66134185303514,74.98272287491362,300,True,False,False,True
4,8,25,cnn,83.45192483123517,2587,2894,88.40355624275222,79.02557014512784,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.02,79.46165191740411,2530,2894,85.17786561264822,74.46440912232204,300,True,False,False,True
5,8,25,cnn,84.81312670920693,2591,2894,89.77228869162485,80.37318590186592,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.025,78.95419988874468,2499,2894,85.19407763105242,73.56599861782999,300,True,False,False,True
6,8,25,cnn,84.38015015564915,2567,2894,89.75457732761978,79.61299239806496,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.03,78.25760420578294,2432,2894,85.6907894736842,72.01105736005529,300,True,False,False,True
7,8,25,cnn,83.80073800738008,2526,2894,89.90498812351544,78.47270214236352,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.035,77.1996215704825,2391,2894,85.31994981179423,70.49067035245335,300,True,False,False,True
8,8,25,cnn,84.01759530791787,2562,2894,89.46135831381733,79.1983413959917,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.04,75.30747398297068,2391,2894,83.22877457130907,68.76295784381479,300,True,False,False,True
9,8,25,cnn,83.27832783278328,2560,2894,88.7109375,78.47270214236352,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.045,74.57170356111645,2301,2894,84.18079096045197,66.93158258465792,300,True,False,False,True
10,8,25,cnn,83.32106038291606,2538,2894,89.16469661150512,78.19626814098135,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.05,73.34630350194553,2246,2894,83.92698130008905,65.1347615756738,300,True,False,False,True
11,8,25,cnn,85.11184451778512,2560,2894,90.6640625,80.20041465100209,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.060000000000000005,73.70855821125674,2294,2894,83.34786399302529,66.06772633033863,300,True,False,False,True
12,8,25,cnn,83.88888888888889,2506,2894,90.3830806065443,78.26537664132688,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.07,71.11199840287483,2115,2894,84.20803782505911,61.5411195577056,300,True,False,False,True
13,8,25,cnn,83.809870697505,2597,2894,88.60223334616866,79.50932964754665,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.08000000000000002,68.56252434748734,2240,2894,78.57142857142857,60.815480304077404,300,True,False,False,True
14,8,25,cnn,84.1635687732342,2486,2894,91.06999195494771,78.2308223911541,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.09000000000000001,66.07693890146061,1967,2894,81.64717844433147,55.49412577747063,300,True,False,False,True
15,8,25,cnn,83.91941391941391,2566,2894,89.28293063133283,79.16378714581893,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.1,66.02448324302628,2089,2894,78.74581139301101,56.84174153420871,300,True,False,False,True
16,8,25,cnn,83.09729630310834,2543,2894,88.83208808493904,78.05805114029026,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.11000000000000001,61.59663865546218,1866,2894,78.56377277599142,50.65653075328265,300,True,False,False,True
17,8,25,cnn,83.39235787511649,2471,2894,90.5301497369486,77.29785763648928,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.12000000000000001,62.95180722891566,1754,2894,83.40935005701255,50.55286800276434,300,True,False,False,True
18,8,25,cnn,82.5536598789213,2557,2894,87.99374266718812,77.74706288873531,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.13,60.88077336197637,1761,2894,80.465644520159,48.96337249481686,300,True,False,False,True
19,8,25,cnn,82.42446573323508,2534,2894,88.2794001578532,77.29785763648928,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.14,59.007945028988615,1763,2894,77.93533749290981,47.4775397373877,300,True,False,False,True
20,8,25,cnn,81.877444589309,2475,2894,88.8080808080808,75.9502418797512,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.15000000000000002,55.450022614201714,1528,2894,80.23560209424083,42.363510711817554,300,True,False,False,True
21,8,25,cnn,82.31166912850813,2522,2894,88.38223632038066,77.02142363510711,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.16000000000000003,54.72591924204828,1539,2894,78.81741390513321,41.91430545957153,300,True,False,False,True
22,8,25,cnn,81.22803772886999,2513,2894,87.38559490648628,75.88113337940567,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.17000000000000004,53.42244756856418,1445,2894,80.2076124567474,40.048375950241876,300,True,False,False,True
23,8,25,cnn,81.16967777984726,2475,2894,88.04040404040404,75.29371112646855,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.18000000000000005,51.807228915662655,1422,2894,78.62165963431787,38.63165169315826,300,True,False,False,True
24,8,25,cnn,79.29864253393664,2410,2894,87.26141078838174,72.66758811333794,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.19,47.354560689490064,1283,2894,77.08495713172252,34.174153420870766,300,True,False,False,True
25,8,25,cnn,80.04522328999435,2413,2894,88.02320762536262,73.39322736696613,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.2,46.4746772591857,1134,2894,82.53968253968254,32.34277816171389,300,True,False,False,True
