,batch_size,cell_type,char_embeddings_dim,char_embeddings_type,clean_f1,clean_n_predicted_entities,clean_n_true_entities,clean_precision,clean_recall,dropout_rate,embeddings_dropout,epochs,filter_width,learning_rate,learning_rate_decay,logging,n_filters,net_type,noise_level,noised_f1,noised_n_predicted_entities,noised_n_true_entities,noised_precision,noised_recall,token_embeddings_dim,use_batch_norm,use_capitalization,use_char_embeddins,use_crf
0,8,,25,cnn,72.44419433502156,2437,2894,79.23676651620845,66.72425708362128,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.0,72.44419433502156,2437,2894,79.23676651620845,66.72425708362128,300,True,False,True,True
1,8,,25,cnn,73.18456883509835,2394,2894,80.82706766917293,66.86247408431237,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.005,71.54037029967552,2345,2894,79.91471215351812,64.75466482377333,300,True,False,True,True
2,8,,25,cnn,72.1511513481598,2187,2894,83.81344307270233,63.3379405666897,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.01,69.85971943887775,2096,2894,83.15839694656489,60.22805805114029,300,True,False,True,True
3,8,,25,cnn,73.08364059771007,2259,2894,83.35546702080566,65.06565307532827,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.015,68.70775347912524,2136,2894,80.89887640449439,59.70974429854872,300,True,False,True,True
4,8,,25,cnn,72.50598563447726,2118,2894,85.78847969782814,62.78507256392536,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.02,67.39850869925435,1934,2894,84.12616339193382,56.219765031098824,300,True,False,True,True
5,8,,25,cnn,71.7399766446088,2244,2894,82.1301247771836,63.68348306841742,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.025,65.57978398206643,2013,2894,79.9304520615996,55.59778852798894,300,True,False,True,True
6,8,,25,cnn,71.72523961661342,2114,2894,84.95742667928099,62.059433310297166,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.03,62.94266441821247,1850,2894,80.70270270270271,51.589495507947476,300,True,False,True,True
7,8,,25,cnn,71.20500782472614,2218,2894,82.05590622182146,62.88873531444368,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.035,61.5801542630811,1903,2894,77.61429322122964,51.03662750518314,300,True,False,True,True
8,8,,25,cnn,70.52966945440063,2128,2894,83.22368421052632,61.195577055977886,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.04,61.246265471617576,1792,2894,80.078125,49.585348997926744,300,True,False,True,True
9,8,,25,cnn,69.28229665071771,2331,2894,77.64907764907765,62.543192812715965,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.045,59.5789034813425,1903,2894,75.09196006305832,49.378023496890115,300,True,False,True,True
10,8,,25,cnn,69.95884773662551,2209,2894,80.80579447713897,61.679336558396685,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.05,58.11074918566776,1711,2894,78.19988310929281,46.23358673116793,300,True,False,True,True
11,8,,25,cnn,69.86133768352364,2010,2894,85.22388059701493,59.191430545957154,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.060000000000000005,55.11882998171847,1482,2894,81.37651821862349,41.67242570836213,300,True,False,True,True
12,8,,25,cnn,69.33074684772066,2261,2894,79.03582485625829,61.74844505874223,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.07,53.35097001763668,1642,2894,73.69062119366626,41.81064270905321,300,True,False,True,True
13,8,,25,cnn,68.66452131938857,2078,2894,82.14629451395572,58.984105044920526,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.08000000000000002,50.913348946135834,1376,2894,78.99709302325581,37.56046993780235,300,True,False,True,True
14,8,,25,cnn,68.66033542129722,2055,2894,82.67639902676399,58.707671043538355,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.09000000000000001,48.03850782190132,1261,2894,79.14353687549564,34.485141672425705,300,True,False,True,True
15,8,,25,cnn,67.59222530741769,2148,2894,79.32960893854748,58.880442294402215,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.1,47.3583093179635,1270,2894,77.63779527559055,34.070490670352456,300,True,False,True,True
16,8,,25,cnn,67.82258064516128,2066,2894,81.41335914811229,58.120248790601245,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.11000000000000001,45.214356929212364,1118,2894,81.12701252236135,31.340704906703525,300,True,False,True,True
17,8,,25,cnn,66.70741646291768,2014,2894,81.28103277060576,56.56530753282654,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.12000000000000001,41.634932724041626,1045,2894,78.4688995215311,28.334485141672424,300,True,False,True,True
18,8,,25,cnn,65.92885375494072,2166,2894,77.00831024930748,57.636489288182446,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.13,39.30131004366812,999,2894,76.57657657657657,26.434001382170006,300,True,False,True,True
19,8,,25,cnn,64.60425873844918,2084,2894,77.15930902111324,55.56323427781617,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.14,37.80140005185377,963,2894,75.70093457943925,25.19004837595024,300,True,False,True,True
20,8,,25,cnn,64.91409646036017,1937,2894,80.94992256066081,54.181064270905324,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.15000000000000002,36.65338645418327,871,2894,79.21928817451206,23.842432619212165,300,True,False,True,True
21,8,,25,cnn,64.40471353108494,2028,2894,78.15581854043393,54.768486523842434,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.16000000000000003,34.830866807610995,890,2894,74.04494382022472,22.771250863856256,300,True,False,True,True
22,8,,25,cnn,63.28542094455851,1976,2894,77.98582995951416,53.2480995162405,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.17000000000000004,32.90516534572287,765,2894,78.69281045751634,20.801658604008292,300,True,False,True,True
23,8,,25,cnn,64.09409822534047,1952,2894,79.55942622950819,53.66275051831375,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.18000000000000005,30.6577480490524,694,2894,79.2507204610951,19.00483759502419,300,True,False,True,True
24,8,,25,cnn,61.36776275973371,2063,2894,73.7275811924382,52.557014512785074,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.19,29.983342587451414,708,2894,76.27118644067797,18.659295093296475,300,True,False,True,True
25,8,,25,cnn,60.6795151996821,2139,2894,71.38849929873773,52.7643400138217,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.2,26.263202968883814,609,2894,75.53366174055829,15.894955079474775,300,True,False,True,True
