,batch_size,cell_type,char_embeddings_dim,char_embeddings_type,clean_f1,clean_n_predicted_entities,clean_n_true_entities,clean_precision,clean_recall,dropout_rate,embeddings_dropout,epochs,filter_width,learning_rate,learning_rate_decay,logging,n_filters,net_type,noise_level,noised_f1,noised_n_predicted_entities,noised_n_true_entities,noised_precision,noised_recall,token_embeddings_dim,use_batch_norm,use_capitalization,use_char_embeddins,use_crf
0,8,,25,cnn,72.36967729616192,2343,2894,80.87921468203159,65.48030407740153,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.0,72.35586101565485,2344,2894,80.84470989761093,65.48030407740153,300,True,False,False,True
1,8,,25,cnn,72.56603046076731,2293,2894,82.07588312254688,65.0310988251555,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.005,70.86736678335278,2248,2894,81.04982206405694,62.95784381478922,300,True,False,False,True
2,8,,25,cnn,72.49408050513023,2174,2894,84.49862005519779,63.47615756738079,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.01,69.90330378726833,2070,2894,83.81642512077295,59.951624049758124,300,True,False,False,True
3,8,,25,cnn,73.04381846635368,2218,2894,84.17493237150586,64.51278507256393,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.015,68.38087585375654,2084,2894,81.66986564299424,58.81133379405667,300,True,False,False,True
4,8,,25,cnn,71.90344281757024,2160,2894,84.12037037037037,62.78507256392536,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.02,67.23891273247496,1999,2894,82.29114557278639,56.84174153420871,300,True,False,False,True
5,8,,25,cnn,71.56995924704056,2259,2894,81.6290393979637,63.718037318590184,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.025,65.86704614759098,2025,2894,80.0,55.97788527988943,300,True,False,False,True
6,8,,25,cnn,71.20063821300359,2120,2894,84.19811320754717,61.679336558396685,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.03,62.621564482029584,1836,2894,80.66448801742919,51.17484450587422,300,True,False,False,True
7,8,,25,cnn,71.42857142857142,2202,2894,82.6521344232516,62.88873531444368,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.035,62.371025479048214,1855,2894,79.83827493261455,51.17484450587422,300,True,False,False,True
8,8,,25,cnn,70.04169148302562,2143,2894,82.31451236584228,60.95369730476849,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.04,61.36412230062006,1783,2894,80.4823331463825,49.585348997926744,300,True,False,False,True
9,8,,25,cnn,68.63011044371245,2267,2894,78.12086457873842,61.195577055977886,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.045,58.29652996845426,1861,2894,74.47608812466416,47.89219073946095,300,True,False,False,True
10,8,,25,cnn,70.44325183860067,2137,2894,82.91998128217126,61.23013130615065,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.05,58.66374589266155,1671,2894,80.13165769000598,46.26814098134071,300,True,False,False,True
11,8,,25,cnn,69.54034729315629,2001,2894,85.05747126436782,58.81133379405667,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.060000000000000005,54.24821551922634,1449,2894,81.29744651483782,40.704906703524536,300,True,False,False,True
12,8,,25,cnn,67.83216783216784,2254,2894,77.4622892635315,60.331720801658605,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.07,52.85524568393094,1624,2894,73.52216748768473,41.25777470628887,300,True,False,False,True
13,8,,25,cnn,68.66462793068298,2011,2894,83.73943311785182,58.18935729094679,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.08000000000000002,50.35765379113018,1300,2894,81.23076923076923,36.489288182446444,300,True,False,False,True
14,8,,25,cnn,68.8478522681654,2088,2894,82.1360153256705,59.260539046302696,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.09000000000000001,49.12114014251782,1316,2894,78.57142857142857,35.729094678645474,300,True,False,False,True
15,8,,25,cnn,67.4975272007913,2161,2894,78.94493290143453,58.94955079474775,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.1,47.58025874460949,1280,2894,77.578125,34.31237042156185,300,True,False,False,True
16,8,,25,cnn,68.0470970361348,2032,2894,82.48031496062993,57.91292328956462,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.11000000000000001,45.100471347060285,1137,2894,79.94722955145119,31.409813407049068,300,True,False,False,True
17,8,,25,cnn,66.49423000397931,2132,2894,78.37711069418387,57.740152038700764,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.12000000000000001,40.94330155544406,1092,2894,74.72527472527473,28.196268140981342,300,True,False,False,True
18,8,,25,cnn,64.80972930561003,2204,2894,74.9546279491833,57.083621285418104,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.13,39.53905249679898,1011,2894,76.36003956478734,26.675881133379406,300,True,False,False,True
19,8,,25,cnn,65.14750762970499,2021,2894,79.21820880752102,55.321354526606775,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.14,36.568140204028246,929,2894,75.24219590958019,24.153420870767103,300,True,False,False,True
20,8,,25,cnn,64.53452841719292,2015,2894,78.61042183622828,54.73393227366966,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.15000000000000002,36.44586326150572,865,2894,79.1907514450867,23.669661368348308,300,True,False,False,True
21,8,,25,cnn,64.1086186540732,2188,2894,74.45155393053017,56.28887353144437,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.16000000000000003,34.82613277133825,902,2894,73.28159645232816,22.840359364201795,300,True,False,False,True
22,8,,25,cnn,63.462698572290364,2079,2894,75.9018759018759,54.52660677263303,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.17000000000000004,32.01516793066089,798,2894,74.06015037593986,20.42156185210781,300,True,False,False,True
23,8,,25,cnn,63.56495468277945,2071,2894,76.19507484307098,54.52660677263303,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.18000000000000005,30.722051853916923,693,2894,79.50937950937951,19.03939184519696,300,True,False,False,True
24,8,,25,cnn,61.86579378068739,1994,2894,75.82748244734202,52.24602626123013,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.19,29.385474860335194,686,2894,76.67638483965014,18.17553559087768,300,True,False,False,True
25,8,,25,cnn,61.60928742994396,2102,2894,73.21598477640343,53.17899101589496,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.2,26.708428246013664,618,2894,75.88996763754045,16.205943331029715,300,True,False,False,True
