,batch_size,cell_type,char_embeddings_dim,char_embeddings_type,clean_f1,clean_n_predicted_entities,clean_n_true_entities,clean_precision,clean_recall,dropout_rate,embeddings_dropout,epochs,filter_width,learning_rate,learning_rate_decay,logging,n_filters,net_type,noise_level,noised_f1,noised_n_predicted_entities,noised_n_true_entities,noised_precision,noised_recall,token_embeddings_dim,trainable_embeddings,use_batch_norm,use_capitalization,use_char_embeddins,use_crf
0,8,lstm,25,cnn,86.41819330385344,5433,5648,88.12810601877416,84.77337110481587,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.05,81.30678168303203,5249,5648,84.39702800533435,78.43484419263456,300,True,True,False,True,True
1,8,lstm,25,cnn,85.89313254105052,5375,5648,88.07441860465116,83.8172804532578,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.060000000000000005,80.0405081937028,5214,5648,83.3716915995397,76.96529745042493,300,True,True,False,True,True
2,8,lstm,25,cnn,86.02385504871164,5335,5648,88.5473289597001,83.64022662889518,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.07,78.29890191699236,5098,5648,82.52255786582974,74.48654390934844,300,True,True,False,True,True
3,8,lstm,25,cnn,86.10985431182698,5403,5648,88.06218767351471,84.24220963172804,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.08000000000000002,77.12962962962962,5152,5648,80.84239130434783,73.7429178470255,300,True,True,False,True,True
4,8,lstm,25,cnn,85.98250091141085,5324,5648,88.59879789631856,83.51628895184136,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.09000000000000001,76.7894239848914,4942,5648,82.27438284095508,71.9900849858357,300,True,True,False,True,True
5,8,lstm,25,cnn,85.39120919204814,5318,5648,88.04061677322302,82.89660056657223,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.1,75.72649572649573,4882,5648,81.66734944694797,70.59135977337111,300,True,True,False,True,True
6,8,lstm,25,cnn,84.38465733503,5354,5648,86.70153156518491,82.18838526912181,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.11000000000000001,73.63875328576792,5004,5648,78.37729816147082,69.44050991501416,300,True,True,False,True,True
7,8,lstm,25,cnn,85.34592337025603,5366,5648,87.58852031308237,83.21529745042493,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.12000000000000001,74.22836583980308,4914,5648,79.77207977207978,69.40509915014164,300,True,True,False,True,True
8,8,lstm,25,cnn,84.60421205519245,5368,5648,86.8107302533532,82.5070821529745,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.13,72.15141715807493,4866,5648,77.94903411426223,67.15651558073654,300,True,True,False,True,True
9,8,lstm,25,cnn,84.73338203067932,5304,5648,87.48114630467572,82.15297450424929,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.14,72.2494004796163,4777,5648,78.83608959598075,66.6784702549575,300,True,True,False,True,True
