,batch_size,cell_type,char_embeddings_dim,char_embeddings_type,clean_f1,clean_n_predicted_entities,clean_n_true_entities,clean_precision,clean_recall,dropout_rate,embeddings_dropout,epochs,filter_width,learning_rate,learning_rate_decay,logging,n_filters,net_type,noise_level,noised_f1,noised_n_predicted_entities,noised_n_true_entities,noised_precision,noised_recall,token_embeddings_dim,trainable_embeddings,use_batch_norm,use_capitalization,use_char_embeddins,use_crf
0,8,lstm,25,cnn,82.13624583487596,5156,5648,86.05508145849495,78.55878186968839,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.05,76.7120696178585,4924,5648,82.35174654752234,71.79532577903683,300,True,True,False,True,True
1,8,lstm,25,cnn,82.02288667404946,5188,5648,85.65921356977641,78.6827195467422,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.060000000000000005,75.4222096424191,4951,5648,80.73116542112705,70.76841359773371,300,True,True,False,True,True
2,8,lstm,25,cnn,82.14252617922341,5143,5648,86.17538401711063,78.47025495750708,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.07,74.52028639618138,4827,5648,80.85767557489123,69.10410764872522,300,True,True,False,True,True
3,8,lstm,25,cnn,81.20508568269761,5206,5648,84.65232424126009,78.02762039660057,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.08000000000000002,73.06196033779297,4891,5648,78.71600899611532,68.1657223796034,300,True,True,False,True,True
4,8,lstm,25,cnn,82.57456828885401,5181,5648,86.29608183748311,79.16076487252124,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.09000000000000001,74.00588402771189,4889,5648,79.75046021681325,69.03328611898017,300,True,True,False,True,True
5,8,lstm,25,cnn,82.15401580591804,5234,5648,85.40313335880779,79.14305949008498,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.1,72.31060606060608,4912,5648,77.72801302931596,67.59915014164307,300,True,True,False,True,True
6,8,lstm,25,cnn,81.85677371723884,5188,5648,85.4857363145721,78.52337110481587,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.11000000000000001,71.67630057803468,4732,5648,78.61369399830939,65.86402266288952,300,True,True,False,True,True
7,8,lstm,25,cnn,81.29079709478715,5229,5648,84.54771466819659,78.27549575070822,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.12000000000000001,70.86821559589879,4983,5648,75.59702990166566,66.69617563739378,300,True,True,False,True,True
8,8,lstm,25,cnn,81.07261334316254,5204,5648,84.53112990007686,77.88597733711048,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.13,70.05476030358344,4761,5648,76.58055030455786,64.55382436260624,300,True,True,False,True,True
9,8,lstm,25,cnn,81.27482678983833,5177,5648,84.97199150086922,77.88597733711048,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.14,69.34683150004867,4625,5648,77.01621621621622,63.06657223796034,300,True,True,False,True,True
10,8,lstm,25,cnn,81.37182787789628,5228,5648,84.64039785768936,78.34631728045326,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.15000000000000002,68.42155642768259,4799,5648,74.47384871848301,63.27903682719547,300,True,True,False,True,True
11,8,lstm,25,cnn,81.114092717683,5159,5648,84.95832525683272,77.60269121813032,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.16000000000000003,68.5926215108335,4598,5648,76.42453240539365,62.21671388101983,300,True,True,False,True,True
12,8,lstm,25,cnn,80.15695067264573,5056,5648,84.8496835443038,75.95609065155807,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.17000000000000004,66.58558832471877,4219,5648,77.86205261910405,58.16218130311615,300,True,True,False,True,True
13,8,lstm,25,cnn,80.04056421130265,5199,5648,83.49682631275245,76.85906515580737,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.18000000000000005,67.29356450191007,4561,5648,75.31243148432361,60.81798866855524,300,True,True,False,True,True
14,8,lstm,25,cnn,80.76780415430268,5136,5648,84.79361370716511,77.10694050991502,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.19,65.55833750625939,4337,5648,75.46691261240488,57.94971671388102,300,True,True,False,True,True
15,8,lstm,25,cnn,80.25727069351231,5080,5648,84.74409448818898,76.22167138810198,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.2,66.02332127060716,4300,5648,76.37209302325581,58.14447592067989,300,True,True,False,True,True
16,8,lstm,25,cnn,81.36617525867595,5273,5648,84.25943485681775,78.66501416430594,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.0,81.27402526084568,5278,5648,84.1227737779462,78.61189801699717,300,True,True,False,True,True
17,8,lstm,25,cnn,81.21688287959071,5298,5648,83.89958474896187,78.70042492917847,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.005,80.4793267471643,5284,5648,83.25132475397426,77.88597733711048,300,True,True,False,True,True
18,8,lstm,25,cnn,81.02846648301194,5242,5648,84.16634872186188,78.11614730878188,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.01,79.00257637099743,5220,5648,82.24137931034483,76.00920679886686,300,True,True,False,True,True
