,batch_size,char_embeddings_dim,char_embeddings_type,clean_f1,clean_n_predicted_entities,clean_n_true_entities,clean_precision,clean_recall,dropout_rate,embeddings_dropout,epochs,filter_width,learning_rate,learning_rate_decay,n_filters,net_type,noise_level,noised_f1,noised_n_predicted_entities,noised_n_true_entities,noised_precision,noised_recall,token_embeddings_dim,use_batch_norm,use_capitalization,use_char_embeddins,use_crf
0,8,25,cnn,72.31606606606606,5008,5648,76.93690095846645,68.21883852691218,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.0,72.32804729285915,5009,5648,76.94150529047714,68.23654390934844,300,True,False,False,True
1,8,25,cnn,71.65873306481143,5276,5648,74.1849886277483,69.29886685552408,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.005,70.22092386342888,5306,5648,72.48398039954768,68.09490084985836,300,True,False,False,True
2,8,25,cnn,71.63386727688787,5277,5648,74.15198029183249,69.28116147308782,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.01,69.39073330901131,5316,5648,71.55756207674943,67.35127478753542,300,True,False,False,True
3,8,25,cnn,71.70414980709512,4979,5648,76.52138983731673,67.45750708215297,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.015,68.65221489161169,4962,5648,73.39782345828296,64.48300283286119,300,True,False,False,True
4,8,25,cnn,72.70326353518205,4954,5648,77.7957206297941,68.23654390934844,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.02,68.2054677892347,4923,5648,73.22770668291692,63.827903682719544,300,True,False,False,True
5,8,25,cnn,72.17531543496823,4893,5648,77.74371551195586,67.35127478753542,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.025,67.25596426195229,4873,5648,72.60414529037554,62.641643059490086,300,True,False,False,True
6,8,25,cnn,71.86703182547927,4941,5648,77.0087026917628,67.36898016997168,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.03,66.85114503816794,4832,5648,72.49586092715232,62.021954674220964,300,True,False,False,True
7,8,25,cnn,71.90292540682908,4983,5648,76.70078266104755,67.6699716713881,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.035,65.39447450868698,4885,5648,70.50153531218014,60.977337110481585,300,True,False,False,True
8,8,25,cnn,71.74470510019945,4881,5648,77.3816840811309,66.87322946175638,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.04,64.23062090242962,4724,5648,70.51227773073667,58.976628895184135,300,True,False,False,True
9,8,25,cnn,72.12709284627094,4864,5648,77.93996710526316,67.12110481586403,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.045,64.4673006015913,4658,5648,71.31816230141692,58.81728045325779,300,True,False,False,True
10,8,25,cnn,71.49813806932112,4825,5648,77.5958549222798,66.28895184135978,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.05,63.474452554744516,4627,5648,70.47763129457532,57.73725212464589,300,True,False,False,True
11,8,25,cnn,71.74205967276227,4742,5648,78.59552931252637,65.98796033994334,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.060000000000000005,62.69548759836637,4391,5648,71.66932361648827,55.71883852691218,300,True,False,False,True
