,batch_size,cell_type,char_embeddings_dim,char_embeddings_type,clean_f1,clean_n_predicted_entities,clean_n_true_entities,clean_precision,clean_recall,dropout_rate,embeddings_dropout,epochs,filter_width,learning_rate,learning_rate_decay,logging,n_filters,net_type,noise_level,noised_f1,noised_n_predicted_entities,noised_n_true_entities,noised_precision,noised_recall,token_embeddings_dim,trainable_embeddings,use_batch_norm,use_capitalization,use_char_embeddins,use_crf
0,8,lstm,25,cnn,38.39362005126745,3253,3769,41.438671995081464,35.76545502785885,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.0,58.615916955017305,1393,1497,60.80402010050251,56.579826319305276,300,True,True,False,False,True
1,8,lstm,25,cnn,45.49073913796089,2008,3769,65.43824701195219,34.863358981162115,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.005,63.206816421378775,1085,1497,75.2073732718894,54.50901803607214,300,True,True,False,False,True
2,8,lstm,25,cnn,46.07402282947078,2013,3769,66.1698956780924,35.340939241178035,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.01,63.55433503334641,1052,1497,76.99619771863118,54.10821643286573,300,True,True,False,False,True
3,8,lstm,25,cnn,45.54118447923758,2107,3769,63.50261034646417,35.500132661183336,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.015,62.7906976744186,1083,1497,74.79224376731302,54.10821643286573,300,True,True,False,False,True
4,8,lstm,25,cnn,45.20641419310815,2093,3769,63.30625895843287,35.15521358450518,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.02,59.80430528375734,1058,1497,72.2117202268431,51.03540414161657,300,True,True,False,False,True
5,8,lstm,25,cnn,44.6105702364395,1983,3769,64.69994957135653,34.04085964446803,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.025,58.752025931928685,971,1497,74.66529351184346,48.43019372077488,300,True,True,False,False,True
6,8,lstm,25,cnn,46.06796913478903,2322,3769,60.42204995693368,37.22472804457416,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.03,58.95953757225434,1098,1497,69.67213114754098,51.102204408817634,300,True,True,False,False,True
7,8,lstm,25,cnn,45.572649572649574,2081,3769,64.0557424315233,35.367471477845584,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.035,58.548195160650536,1024,1497,72.0703125,49.298597194388776,300,True,True,False,False,True
8,8,lstm,25,cnn,43.092962641181586,1986,3769,62.43705941591138,32.89997346776333,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.04,52.17751970136872,914,1497,68.81838074398249,42.017368069472276,300,True,True,False,False,True
9,8,lstm,25,cnn,44.12898703119524,1937,3769,64.99741868869386,33.4040859644468,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.045,54.10668924640135,865,1497,73.8728323699422,42.68537074148296,300,True,True,False,False,True
10,8,lstm,25,cnn,45.298846557147854,1953,3769,66.3594470046083,34.385778721146195,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.05,54.725546842756906,926,1497,71.59827213822894,44.28857715430862,300,True,True,False,False,True
11,8,lstm,25,cnn,45.05457025920873,2095,3769,63.05489260143198,35.04908463783497,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.060000000000000005,52.84552845528455,963,1497,67.49740394600208,43.420173680694724,300,True,True,False,False,True
12,8,lstm,25,cnn,42.312466749423656,1870,3769,63.79679144385027,31.65295834438843,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.07,48.64632574129781,830,1497,68.19277108433735,37.80895123580494,300,True,True,False,False,True
13,8,lstm,25,cnn,42.209680177869,2078,3769,59.384023099133785,32.74078004775803,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.08000000000000002,48.78253568429891,885,1497,65.64971751412429,38.81095524382098,300,True,True,False,False,True
14,8,lstm,25,cnn,34.22613697645155,1794,3769,53.06577480490524,25.25868930750862,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.09000000000000001,38.32946635730859,658,1497,62.765957446808514,27.588510354041418,300,True,True,False,False,True
15,8,lstm,25,cnn,42.309729825181,1894,3769,63.25237592397043,31.785619527726187,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.1,43.75000000000001,711,1497,67.9324894514768,32.26452905811623,300,True,True,False,False,True
16,8,lstm,25,cnn,40.021810250817886,1733,3769,63.53144835545297,29.211992570973734,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.11000000000000001,39.114043355325165,625,1497,66.4,27.722110888443552,300,True,True,False,False,True
17,8,lstm,25,cnn,38.98670499461013,1797,3769,60.37840845854201,28.787476784292917,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.12000000000000001,39.13857677902622,639,1497,65.41471048513301,27.92251169004676,300,True,True,False,False,True
18,8,lstm,25,cnn,38.59335951445912,1833,3769,58.97435897435897,28.681347837622713,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.13,35.5908453993461,644,1497,59.161490683229815,25.450901803607213,300,True,True,False,False,True
19,8,lstm,25,cnn,37.82142857142857,1831,3769,57.837247405789185,28.097638630936586,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.14,35.27168732125835,601,1497,61.56405990016639,24.71609886439546,300,True,True,False,False,True
20,8,lstm,25,cnn,36.74644592405974,1788,3769,57.10290827740492,27.089413637569645,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.15000000000000002,35.05355404089581,557,1497,64.63195691202873,24.04809619238477,300,True,True,False,False,True
21,8,lstm,25,cnn,30.300708676498758,1452,3769,54.476584022038566,20.9869992040329,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.16000000000000003,28.49767681982447,440,1497,62.72727272727273,18.43687374749499,300,True,True,False,False,True
