,batch_size,cell_type,char_embeddings_dim,char_embeddings_type,clean_f1,clean_n_predicted_entities,clean_n_true_entities,clean_precision,clean_recall,dropout_rate,embeddings_dropout,epochs,filter_width,learning_rate,learning_rate_decay,logging,n_filters,net_type,noise_level,noised_f1,noised_n_predicted_entities,noised_n_true_entities,noised_precision,noised_recall,token_embeddings_dim,trainable_embeddings,use_batch_norm,use_capitalization,use_char_embeddins,use_crf
0,8,,25,cnn,23.217922606924645,650,3769,78.92307692307692,13.6110374104537,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.0,42.269076305220885,495,1497,85.05050505050505,28.122912491649966,300,False,True,False,False,True
1,8,,25,cnn,23.650034176349962,620,3769,83.70967741935483,13.770230830459008,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.005,40.63622370446382,452,1497,87.61061946902655,26.452905811623246,300,False,True,False,False,True
2,8,,25,cnn,24.030148525825755,742,3769,73.04582210242586,14.380472273812682,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.01,41.01796407185629,507,1497,81.06508875739645,27.45490981963928,300,False,True,False,False,True
3,8,,25,cnn,23.09988518943743,586,3769,85.83617747440273,13.34571504377819,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.015,39.62558502340094,426,1497,89.43661971830986,25.450901803607213,300,False,True,False,False,True
4,8,,25,cnn,21.92982456140351,563,3769,84.36944937833037,12.60281241708676,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.02,37.08399366085578,396,1497,88.63636363636364,23.44689378757515,300,False,True,False,False,True
5,8,,25,cnn,23.588115218870488,640,3769,81.25,13.796763067126559,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.025,38.17427385892116,431,1497,85.38283062645012,24.58249832999332,300,False,True,False,False,True
6,8,,25,cnn,23.802094940940492,718,3769,74.3732590529248,14.168214380472273,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.03,37.150127226463106,468,1497,77.99145299145299,24.382097528390112,300,False,True,False,False,True
7,8,,25,cnn,21.63153070577452,595,3769,79.32773109243698,12.523215707084107,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.035,35.188129305776364,390,1497,85.12820512820512,22.177688710754843,300,False,True,False,False,True
8,8,,25,cnn,21.44500690289922,577,3769,80.76256499133449,12.3640222870788,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.04,32.67273701124799,370,1497,82.43243243243244,20.37408149632598,300,False,True,False,False,True
9,8,,25,cnn,21.451687471104947,557,3769,83.30341113105925,12.310957813743698,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.045,31.376851343938565,326,1497,87.73006134969326,19.10487641950568,300,False,True,False,False,True
