,batch_size,cell_type,char_embeddings_dim,char_embeddings_type,clean_f1,clean_n_predicted_entities,clean_n_true_entities,clean_precision,clean_recall,dropout_rate,embeddings_dropout,epochs,filter_width,learning_rate,learning_rate_decay,logging,n_filters,net_type,noise_level,noised_f1,noised_n_predicted_entities,noised_n_true_entities,noised_precision,noised_recall,token_embeddings_dim,use_batch_norm,use_capitalization,use_char_embeddins,use_crf
0,8,lstm,25,cnn,79.08887229275578,2462,2894,86.02761982128351,73.18590186592951,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.05,74.147836078131,2328,2894,83.16151202749141,66.89702833448514,300,True,False,False,True
1,8,lstm,25,cnn,77.66917293233082,2426,2894,85.16075845012367,71.3890808569454,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.060000000000000005,71.7699630852924,2253,2894,81.97958277851754,63.8217000691085,300,True,False,False,True
2,8,lstm,25,cnn,77.60736196319019,2322,2894,87.1662360034453,69.93780234968901,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.07,70.6092478666402,2145,2894,82.93706293706293,61.472011057360056,300,True,False,False,True
3,8,lstm,25,cnn,77.26928895612707,2394,2894,85.33834586466165,70.59433310297166,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.08000000000000002,68.94211576846307,2116,2894,81.61625708884688,59.67519004837595,300,True,False,False,True
4,8,lstm,25,cnn,76.08527131782945,2266,2894,86.62842012356576,67.82999308914997,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.09000000000000001,67.69794422959497,2019,2894,82.36750866765726,57.46371803731859,300,True,False,False,True
5,8,lstm,25,cnn,75.26923076923076,2306,2894,84.86556808326105,67.62266758811334,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.1,67.27162734422262,2065,2894,80.77481840193704,57.636489288182446,300,True,False,False,True
6,8,lstm,25,cnn,75.48667548667548,2397,2894,83.3124739257405,69.00483759502418,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.11000000000000001,66.58663465386154,2104,2894,79.08745247148289,57.49827228749136,300,True,False,False,True
7,8,lstm,25,cnn,74.99026100506427,2240,2894,85.9375,66.51693158258466,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.12000000000000001,65.2020725388601,1931,2894,81.46038322112895,54.35383552176918,300,True,False,False,True
8,8,lstm,25,cnn,75.2597152751058,2304,2894,84.89583333333333,67.58811333794057,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.13,63.60294117647059,2002,2894,77.77222777222777,53.800967519004836,300,True,False,False,True
9,8,lstm,25,cnn,72.8352490421456,2326,2894,81.72828890799656,65.68762957843815,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.14,61.97586418490489,1995,2894,75.93984962406014,52.349689011748445,300,True,False,False,True
10,8,lstm,25,cnn,73.54838709677418,2221,2894,84.69158036920307,64.99654457498272,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.15000000000000002,60.4602510460251,1886,2894,76.61717921527041,49.93089149965446,300,True,False,False,True
11,8,lstm,25,cnn,71.42569877337624,2079,2894,85.42568542568543,61.36834830684174,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.16000000000000003,59.73356252685862,1760,2894,78.97727272727273,48.030407740152036,300,True,False,False,True
12,8,lstm,25,cnn,70.78542194503996,2237,2894,81.18015198927135,62.75051831375259,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.17000000000000004,58.93456375838927,1874,2894,74.97331910352187,48.54872149274361,300,True,False,False,True
13,8,lstm,25,cnn,71.06476839783437,2093,2894,84.66316292403249,61.23013130615065,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.18000000000000005,56.59206736095724,1619,2894,78.875849289685,44.12577747062889,300,True,False,False,True
14,8,lstm,25,cnn,71.43424711958681,2140,2894,84.01869158878505,62.12854181064271,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.19,56.88675120244862,1680,2894,77.44047619047619,44.955079474775395,300,True,False,False,True
15,8,lstm,25,cnn,69.38693467336682,2081,2894,82.94089380105719,59.64063579820318,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.2,55.88364918466284,1644,2894,77.12895377128953,43.814789219073944,300,True,False,False,True
16,8,lstm,25,cnn,82.38522041338943,2573,2894,87.52429071123204,77.81617138908085,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.0,82.4067300658376,2574,2894,87.52913752913754,77.85072563925362,300,True,False,False,True
17,8,lstm,25,cnn,80.63916759568932,2488,2894,87.21864951768488,74.9827228749136,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.005,79.60440380668035,2465,2894,86.5314401622718,73.70421561852108,300,True,False,False,True
18,8,lstm,25,cnn,82.15936402292475,2515,2894,88.34990059642148,76.77954388389772,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.01,80.43194935766151,2477,2894,87.20226079935405,74.6371803731859,300,True,False,False,True
19,8,lstm,25,cnn,81.14575779550398,2622,2894,85.35469107551488,77.33241188666206,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.015,79.13011695906434,2578,2894,83.97982932505819,74.80995162404976,300,True,False,False,True
20,8,lstm,25,cnn,80.93558566920363,2493,2894,87.44484556758925,75.32826537664133,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.02,77.80914737436476,2419,2894,85.4485324514262,71.42363510711817,300,True,False,False,True
21,8,lstm,25,cnn,80.35146756403066,2455,2894,87.5356415478615,74.25708362128542,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.025,77.63408139977179,2364,2894,86.33671742808798,70.52522460262612,300,True,False,False,True
