,batch_size,cell_type,char_embeddings_dim,char_embeddings_type,clean_f1,clean_n_predicted_entities,clean_n_true_entities,clean_precision,clean_recall,dropout_rate,embeddings_dropout,epochs,filter_width,learning_rate,learning_rate_decay,logging,n_filters,net_type,noise_level,noised_f1,noised_n_predicted_entities,noised_n_true_entities,noised_precision,noised_recall,token_embeddings_dim,trainable_embeddings,use_batch_norm,use_capitalization,use_char_embeddins,use_crf
0,8,lstm,25,cnn,88.40759808272678,2739,2894,90.9090909090909,86.04008293020041,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.05,82.71223413924741,2607,2894,87.265055619486,78.6109191430546,300,True,True,False,True,True
1,8,lstm,25,cnn,88.70277975766216,2718,2894,91.57468727005151,86.00552868002764,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.060000000000000005,81.48693411851306,2540,2894,87.16535433070867,76.50310988251555,300,True,True,False,True,True
2,8,lstm,25,cnn,89.13043478260869,2718,2894,92.01618837380427,86.4201796821009,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.07,82.17335998546248,2609,2894,86.66155615178229,78.1271596406358,300,True,True,False,True,True
3,8,lstm,25,cnn,88.73139617292699,2750,2894,91.05454545454545,86.52384243261922,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.08000000000000002,80.15364916773369,2573,2894,85.1535172949864,75.70836212854181,300,True,True,False,True,True
4,8,lstm,25,cnn,89.39582962038853,2717,2894,92.3076923076923,86.6620594333103,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.09000000000000001,79.18518518518518,2506,2894,85.31524341580207,73.87698686938494,300,True,True,False,True,True
5,8,lstm,25,cnn,88.54713225981546,2633,2894,92.93581466008355,84.55425017277125,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.1,78.89872930304196,2300,2894,89.08695652173913,70.8016586040083,300,True,True,False,True,True
6,8,lstm,25,cnn,88.30796777081468,2691,2894,91.63879598662207,85.2107809260539,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.11000000000000001,77.65677806984606,2432,2894,85.03289473684211,71.45818935729095,300,True,True,False,True,True
7,8,lstm,25,cnn,89.12119064493267,2750,2894,91.45454545454545,86.9039391845197,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.12000000000000001,78.3955223880597,2466,2894,85.19870235198702,72.59847961299239,300,True,True,False,True,True
8,8,lstm,25,cnn,88.13254096884566,2659,2894,92.02707784881534,84.55425017277125,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.13,75.5695208169678,2198,2894,87.53412192902638,66.48237733241189,300,True,True,False,True,True
9,8,lstm,25,cnn,89.10498829461552,2659,2894,93.04249717939075,85.48721492743607,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.14,75.78947368421052,2331,2894,84.94208494208495,68.41741534208708,300,True,True,False,True,True
10,8,lstm,25,cnn,88.1543684116491,2703,2894,91.26896041435442,85.24533517622667,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.15000000000000002,76.35673624288425,2376,2894,84.68013468013469,69.52315134761575,300,True,True,False,True,True
11,8,lstm,25,cnn,88.0668682198115,2729,2894,90.7292048369366,85.55632342778162,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.16000000000000003,73.0518234165067,2316,2894,82.16753022452504,65.75673807878368,300,True,True,False,True,True
12,8,lstm,25,cnn,88.11364862434813,2667,2894,91.86351706036746,84.65791292328956,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.17000000000000004,73.58234952583705,2273,2894,83.63396392432908,65.68762957843815,300,True,True,False,True,True
13,8,lstm,25,cnn,86.90967857784162,2675,2894,90.46728971962617,83.62128541810642,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.18000000000000005,70.71428571428571,2146,2894,83.03821062441752,61.57567380787837,300,True,True,False,True,True
