,batch_size,cell_type,char_embeddings_dim,char_embeddings_type,clean_f1,clean_n_predicted_entities,clean_n_true_entities,clean_precision,clean_recall,dropout_rate,embeddings_dropout,epochs,filter_width,learning_rate,learning_rate_decay,logging,n_filters,net_type,noise_level,noised_f1,noised_n_predicted_entities,noised_n_true_entities,noised_precision,noised_recall,token_embeddings_dim,use_batch_norm,use_capitalization,use_char_embeddins,use_crf
0,8,lstm,25,cnn,86.00368324125229,2536,2894,92.07413249211356,80.68417415342087,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.05,75.14654161781947,2224,2894,86.4658273381295,66.44782308223911,300,True,False,False,True
1,8,lstm,25,cnn,85.39694100509833,2598,2894,90.26173979984604,81.02971665514859,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.060000000000000005,75.09150452706608,2297,2894,84.84980409229429,67.34623358673117,300,True,False,False,True
2,8,lstm,25,cnn,86.16226071103009,2591,2894,91.2003087610961,81.65169315825847,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.07,73.63654262650128,2185,2894,85.58352402745996,64.61644782308224,300,True,False,False,True
3,8,lstm,25,cnn,85.98806725727717,2637,2894,90.17823284034888,82.17000691085003,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.08000000000000002,70.57453416149069,2258,2894,80.51372896368467,62.819626814098136,300,True,False,False,True
4,8,lstm,25,cnn,84.69126781147241,2580,2894,89.84496124031008,80.09675190048375,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.09000000000000001,68.35493519441675,2121,2894,80.81093823668081,59.22598479612992,300,True,False,False,True
5,8,lstm,25,cnn,84.66190214403518,2563,2894,90.12875536480686,79.82031789910158,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.1,67.41803278688525,1986,2894,82.82980866062437,56.84174153420871,300,True,False,False,True
6,8,lstm,25,cnn,84.64064210142284,2588,2894,89.64451313755796,80.1658604008293,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.11000000000000001,64.41780125990653,2027,2894,78.19437592501234,54.768486523842434,300,True,False,False,True
7,8,lstm,25,cnn,84.78458462097801,2607,2894,89.45147679324894,80.58051140290256,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.12000000000000001,63.80192347043176,1993,2894,78.2237832413447,53.87007601935038,300,True,False,False,True
8,8,lstm,25,cnn,84.06330511593669,2540,2894,89.92125984251969,78.92190739460953,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.13,60.693764630772506,1805,2894,79.00277008310249,49.274360746371805,300,True,False,False,True
9,8,lstm,25,cnn,84.54212454212454,2566,2894,89.94544037412315,79.75120939875605,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.14,58.75730677635852,1725,2894,78.66666666666667,46.890117484450585,300,True,False,False,True
10,8,lstm,25,cnn,83.64101626759278,2577,2894,88.78540939076446,79.06012439530062,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.15000000000000002,58.468776732249786,1782,2894,76.71156004489337,47.2356599861783,300,True,False,False,True
11,8,lstm,25,cnn,83.44444444444444,2506,2894,89.90422984836393,77.85072563925362,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.16000000000000003,57.26325127522732,1615,2894,79.93808049535603,44.60953697304768,300,True,False,False,True
12,8,lstm,25,cnn,83.03769401330376,2518,2894,89.23749007148531,77.643400138217,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.17000000000000004,53.69279565020389,1520,2894,77.96052631578948,40.94678645473393,300,True,False,False,True
13,8,lstm,25,cnn,82.9026937877955,2563,2894,88.25595005852517,78.16171389080858,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.18000000000000005,53.18769505127062,1592,2894,74.93718592964824,41.2232204561161,300,True,False,False,True
14,8,lstm,25,cnn,82.97317436661699,2474,2894,90.01616814874697,76.95231513476158,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.19,51.476400837014644,1407,2894,78.67803837953092,38.25155494125777,300,True,False,False,True
15,8,lstm,25,cnn,82.38294771360903,2595,2894,87.12909441233141,78.1271596406358,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.2,50.276752767527675,1442,2894,75.58945908460471,37.66413268832066,300,True,False,False,True
16,8,lstm,25,cnn,85.09349955476404,2721,2894,87.79860345461228,82.55010366275052,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.0,85.05788067675867,2721,2894,87.76185226019845,82.51554941257774,300,True,False,False,True
17,8,lstm,25,cnn,83.92660550458716,2556,2894,89.47574334898279,79.02557014512784,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.005,83.00147492625369,2530,2894,88.97233201581028,77.78161713890809,300,True,False,False,True
18,8,lstm,25,cnn,86.1504907306434,2608,2894,90.87423312883436,81.89357290946786,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.01,83.65701722242581,2564,2894,89.04056162246489,78.88735314443677,300,True,False,False,True
19,8,lstm,25,cnn,84.70286133528981,2558,2894,90.26583268178264,79.78576364892882,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.015,81.81648290039246,2457,2894,89.0923890923891,75.63925362819627,300,True,False,False,True
20,8,lstm,25,cnn,85.58951965065502,2602,2894,90.39200614911607,81.27159640635799,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.02,80.9453471196455,2522,2894,86.91514670896115,75.74291637871458,300,True,False,False,True
