,batch_size,char_embeddings_dim,char_embeddings_type,clean_f1,clean_n_predicted_entities,clean_n_true_entities,clean_precision,clean_recall,dropout_rate,embeddings_dropout,epochs,filter_width,learning_rate,learning_rate_decay,n_filters,net_type,noise_level,noised_f1,noised_n_predicted_entities,noised_n_true_entities,noised_precision,noised_recall,token_embeddings_dim,use_batch_norm,use_capitalization,use_char_embeddins,use_crf
0,8,25,cnn,85.55394641564084,5400,5648,87.51851851851852,83.6756373937677,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.0,85.56169095682085,5399,5648,87.53472865345434,83.6756373937677,300,True,False,False,True
1,8,25,cnn,85.69868995633188,5344,5648,88.13622754491018,83.39235127478753,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.005,84.66860888565186,5336,5648,87.14392803598201,82.3300283286119,300,True,False,False,True
2,8,25,cnn,85.62346744164927,5363,5648,87.89856423643484,83.46317280453258,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.01,83.63371563808484,5338,5648,86.0621955788685,81.33852691218131,300,True,False,False,True
3,8,25,cnn,84.83074107959744,5282,5648,87.76978417266187,82.08215297450425,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.015,82.38547331551295,5201,5648,85.92578350317247,79.12535410764872,300,True,False,False,True
4,8,25,cnn,85.15032440829755,5295,5648,87.98866855524079,82.48937677053824,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.02,82.61269549218031,5222,5648,85.98238222903102,79.4971671388102,300,True,False,False,True
5,8,25,cnn,85.04733020862054,5233,5648,88.41964456334799,81.9228045325779,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.025,81.69825343738387,5116,5648,85.9460516028147,77.85056657223797,300,True,False,False,True
6,8,25,cnn,83.57854336105272,5295,5648,86.36449480642115,80.96671388101983,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.03,79.36213610235491,5138,5648,83.3008952899961,75.77903682719547,300,True,False,False,True
7,8,25,cnn,84.39411925851522,5303,5648,87.13935508202904,81.81657223796034,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.035,79.56015523932729,5174,5648,83.20448395825281,76.22167138810198,300,True,False,False,True
8,8,25,cnn,83.94113883557262,5293,5648,86.75609295295673,81.30311614730878,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.04,78.7354718735472,5107,5648,82.90581554728804,74.96458923512748,300,True,False,False,True
9,8,25,cnn,83.77657127081991,5219,5648,87.21977390304656,80.59490084985836,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.045,78.40706302244763,4999,5648,83.49669933986797,73.90226628895184,300,True,False,False,True
10,8,25,cnn,84.12287194670614,5160,5648,88.10077519379846,80.48866855524079,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.05,77.94734834032813,4836,5648,84.49131513647643,72.34419263456091,300,True,False,False,True
11,8,25,cnn,83.65420214735285,5156,5648,87.6454615981381,80.01062322946176,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.060000000000000005,76.88316679477325,4760,5648,84.0546218487395,70.83923512747876,300,True,False,False,True
12,8,25,cnn,83.20103378253647,5186,5648,86.90705746239877,79.79815864022663,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.07,75.38798438541369,4855,5648,81.5447991761071,70.09560906515581,300,True,False,False,True
13,8,25,cnn,83.09466245118095,5106,5648,87.50489620054837,79.10764872521247,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.08000000000000002,74.16609605790865,4575,5648,82.86338797814207,67.12110481586403,300,True,False,False,True
14,8,25,cnn,83.10773224550343,5138,5648,87.23238614246789,79.35552407932012,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.09000000000000001,73.66263178445921,4596,5648,82.09312445604874,66.80240793201133,300,True,False,False,True
15,8,25,cnn,82.91913946587536,5136,5648,87.05218068535825,79.16076487252124,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.1,72.58347978910369,4594,5648,80.90988245537658,65.81090651558074,300,True,False,False,True
16,8,25,cnn,82.2685908631308,5231,5648,85.54769642515771,79.23158640226629,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.11000000000000001,70.59746885117238,4545,5648,79.16391639163916,63.70396600566572,300,True,False,False,True
