,batch_size,cell_type,char_embeddings_dim,char_embeddings_type,clean_f1,clean_n_predicted_entities,clean_n_true_entities,clean_precision,clean_recall,dropout_rate,embeddings_dropout,epochs,filter_width,learning_rate,learning_rate_decay,logging,n_filters,net_type,noise_level,noised_f1,noised_n_predicted_entities,noised_n_true_entities,noised_precision,noised_recall,token_embeddings_dim,trainable_embeddings,use_batch_norm,use_capitalization,use_char_embeddins,use_crf
0,8,lstm,25,cnn,86.19656956166622,5371,5648,88.4192887730404,84.0828611898017,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.05,81.1551277304702,5156,5648,85.02715283165244,77.62039660056658,300,True,True,False,False,True
1,8,lstm,25,cnn,86.32911392405063,5412,5648,88.21138211382114,84.52549575070822,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.060000000000000005,80.12120099164447,5243,5648,83.21571619301926,77.2485835694051,300,True,True,False,False,True
2,8,lstm,25,cnn,86.12527312454479,5336,5648,88.6431784107946,83.74645892351275,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.07,78.72856077554063,5080,5648,83.12992125984252,74.76983002832861,300,True,True,False,False,True
3,8,lstm,25,cnn,85.34490552391286,5413,5648,87.19748753002033,83.56940509915015,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.08000000000000002,76.64470631901271,5129,5648,80.52251900955352,73.12322946175638,300,True,True,False,False,True
4,8,lstm,25,cnn,85.13130204044286,5281,5648,88.08937701192956,82.36543909348443,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.09000000000000001,76.2302076419835,4899,5648,82.05756276791182,71.1756373937677,300,True,True,False,False,True
5,8,lstm,25,cnn,85.24351388256714,5337,5648,87.7271875585535,82.89660056657223,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.1,75.57647058823531,4977,5648,80.67108700020093,71.08711048158641,300,True,True,False,False,True
6,8,lstm,25,cnn,84.46733532122525,5419,5648,86.2520760287876,82.75495750708215,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.11000000000000001,74.12378821774794,5080,5648,78.26771653543307,70.39660056657223,300,True,True,False,False,True
7,8,lstm,25,cnn,85.18854242204495,5384,5648,87.27711738484398,83.19759206798867,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.12000000000000001,74.11786786786787,5008,5648,78.85383386581469,69.9185552407932,300,True,True,False,False,True
8,8,lstm,25,cnn,84.54396504642271,5338,5648,86.99887598351442,82.22379603399433,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.13,72.4157733537519,4800,5648,78.8125,66.97946175637394,300,True,True,False,False,True
9,8,lstm,25,cnn,84.67941095765114,5285,5648,87.58751182592242,81.95821529745042,0.5,True,5,7,0.005,0.707,False,"[128, 128]",rnn,0.14,71.99922809725976,4716,5648,79.1136556403732,66.05878186968839,300,True,True,False,False,True
