,batch_size,cell_type,char_embeddings_dim,char_embeddings_type,clean_f1,clean_n_predicted_entities,clean_n_true_entities,clean_precision,clean_recall,dropout_rate,embeddings_dropout,epochs,filter_width,learning_rate,learning_rate_decay,logging,n_filters,net_type,noise_level,noised_f1,noised_n_predicted_entities,noised_n_true_entities,noised_precision,noised_recall,token_embeddings_dim,trainable_embeddings,use_batch_norm,use_capitalization,use_char_embeddins,use_crf
0,8,,25,cnn,60.89545889609699,3755,5648,76.24500665778962,50.69050991501416,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.05,57.61603835258226,3530,5648,74.90084985835693,46.813031161473084,300,False,True,False,False,True
1,8,,25,cnn,59.89499624986607,3685,5648,75.84803256445048,49.48654390934844,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.060000000000000005,55.489911938468396,3323,5648,74.90219681011135,44.06869688385269,300,False,True,False,False,True
2,8,,25,cnn,59.93131715963221,3379,5648,80.05327019828351,47.89305949008499,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.07,55.528763348260426,3061,5648,78.9937928781444,42.81161473087819,300,False,True,False,False,True
3,8,,25,cnn,61.028156996587036,3728,5648,76.74356223175965,50.655099150141645,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.08000000000000002,55.4610564010743,3288,5648,75.36496350364963,43.873937677053824,300,False,True,False,False,True
4,8,,25,cnn,59.27379784102061,3523,5648,77.15015611694578,48.123229461756374,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.09000000000000001,53.20410490307867,3122,5648,74.72773862908392,41.30665722379604,300,False,True,False,False,True
5,8,,25,cnn,59.79359277574716,3654,5648,76.10837438423646,49.23866855524079,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.1,53.197047132311184,3157,5648,74.18435223313273,41.46600566572238,300,False,True,False,False,True
6,8,,25,cnn,59.32184790957972,3465,5648,78.008658008658,47.857648725212464,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.11000000000000001,52.06239168110918,3007,5648,74.92517459261722,39.890226628895185,300,False,True,False,False,True
7,8,,25,cnn,58.501314636283965,3480,5648,76.72413793103448,47.273371104815865,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.12000000000000001,51.515151515151516,3130,5648,72.23642172523962,40.03186968838527,300,False,True,False,False,True
8,8,,25,cnn,58.90095426127016,3469,5648,77.39982703949265,47.538951841359776,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.13,50.69403942610521,2925,5648,74.2905982905983,38.47379603399433,300,False,True,False,False,True
9,8,,25,cnn,57.70396139602738,3263,5648,78.79252221881704,45.52053824362606,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.14,49.81598005461237,2775,5648,75.6036036036036,37.14589235127479,300,False,True,False,False,True
10,8,,25,cnn,57.75746767721801,3324,5648,77.94825511432009,45.874645892351275,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.15000000000000002,50.26300409117474,2907,5648,73.9594083247334,38.06657223796034,300,False,True,False,False,True
11,8,,25,cnn,56.512890094979646,3196,5648,78.19148936170212,44.2457507082153,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.16000000000000003,48.52591535901093,2764,5648,73.84225759768451,36.13668555240793,300,False,True,False,False,True
12,8,,25,cnn,55.918135304150084,3147,5648,78.13790911979663,43.537535410764875,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.17000000000000004,48.10881756353657,2733,5648,73.76509330406147,35.69405099150141,300,False,True,False,False,True
13,8,,25,cnn,56.54596100278551,3686,5648,71.59522517634292,46.72450424929178,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.18000000000000005,49.59072305593451,3148,5648,69.28208386277001,38.61543909348442,300,False,True,False,False,True
14,8,,25,cnn,56.54522468681761,3053,5648,80.57648214870619,43.555240793201136,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.19,47.69772810108128,2583,5648,75.99690282617112,34.755665722379604,300,False,True,False,False,True
15,8,,25,cnn,55.29902015992792,3231,5648,75.98266790467348,43.46671388101983,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.2,46.25477099236642,2736,5648,70.86988304093568,34.330736543909346,300,False,True,False,False,True
16,8,,25,cnn,61.79408980965401,3861,5648,76.0942760942761,52.01841359773371,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.0,61.76161446289678,3866,5648,75.9958613554061,52.01841359773371,300,False,True,False,False,True
17,8,,25,cnn,62.06471494607088,4087,5648,73.91729875214094,53.48796033994334,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.005,61.76046176046176,4054,5648,73.90231869758263,53.04532577903683,300,False,True,False,False,True
18,8,,25,cnn,62.866550056590185,4071,5648,75.04298698108573,54.0899433427762,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.01,62.08609271523179,4016,5648,74.7011952191235,53.11614730878187,300,False,True,False,False,True
19,8,,25,cnn,62.62433862433863,3802,5648,77.82745923198317,52.390226628895185,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.015,61.41866666666668,3727,5648,77.247115642608,50.97379603399435,300,False,True,False,False,True
20,8,,25,cnn,61.37989061842659,3860,5648,75.5958549222798,51.6643059490085,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.02,59.83379501385041,3738,5648,75.12038523274478,49.71671388101983,300,False,True,False,False,True
21,8,,25,cnn,61.39427127211458,3848,5648,75.75363825363826,51.611189801699716,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.025,59.3984962406015,3662,5648,75.50518842162752,48.95538243626062,300,False,True,False,False,True
22,8,,25,cnn,62.19244058213799,3903,5648,76.09531129900077,52.58498583569405,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.03,58.89399935822013,3701,5648,74.38530126992704,48.742917847025495,300,False,True,False,False,True
23,8,,25,cnn,62.190516156105744,3884,5648,76.31307929969104,52.478753541076486,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.035,59.03948772678762,3722,5648,74.31488447071467,48.97308781869688,300,False,True,False,False,True
24,8,,25,cnn,60.8884073672806,3582,5648,78.44779452819654,49.75212464589235,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.04,57.874321179208685,3375,5648,77.36296296296297,46.228753541076486,300,False,True,False,False,True
25,8,,25,cnn,61.42702702702703,3602,5648,78.87284841754581,50.30099150141643,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.045,57.41648106904231,3332,5648,77.37094837935174,45.64447592067989,300,False,True,False,False,True
