,batch_size,char_embeddings_dim,char_embeddings_type,clean_f1,clean_n_predicted_entities,clean_n_true_entities,clean_precision,clean_recall,dropout_rate,embeddings_dropout,epochs,filter_width,learning_rate,learning_rate_decay,n_filters,net_type,noise_level,noised_f1,noised_n_predicted_entities,noised_n_true_entities,noised_precision,noised_recall,token_embeddings_dim,use_batch_norm,use_capitalization,use_char_embeddins,use_crf
0,8,25,cnn,79.97363713397985,4973,5648,85.40116629800924,75.19475920679886,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.0,80.00376576915833,4974,5648,85.42420587052673,75.23016997167139,300,True,False,True,True
1,8,25,cnn,80.17193048028406,5054,5648,84.88326078353779,75.95609065155807,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.005,79.54630671166105,5020,5648,84.5219123505976,75.12393767705383,300,True,False,True,True
2,8,25,cnn,81.1183597390494,5082,5648,85.63557654466746,77.05382436260624,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.01,79.81625574200808,5019,5648,84.81769276748356,75.37181303116148,300,True,False,True,True
3,8,25,cnn,80.55115910995254,5093,5648,84.94011388179855,76.59348441926346,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.015,78.86056971514243,5024,5648,83.75796178343948,74.5042492917847,300,True,False,True,True
4,8,25,cnn,81.10505405155688,5175,5648,84.81159420289855,77.70892351274787,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.02,78.53471638164658,5053,5648,83.15851969127252,74.39801699716713,300,True,False,True,True
5,8,25,cnn,81.19436201780415,5136,5648,85.24143302180686,77.51416430594901,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.025,77.55447032306537,5000,5648,82.58,73.10552407932012,300,True,False,True,True
6,8,25,cnn,80.67740144364242,5158,5648,84.5094998061264,77.17776203966005,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.03,76.68354905271056,5014,5648,81.53171120861587,72.37960339943342,300,True,False,True,True
7,8,25,cnn,81.73705032661698,5221,5648,85.07948668837388,78.64730878186968,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.035,76.82575123267281,5101,5648,80.94491276220349,73.10552407932012,300,True,False,True,True
8,8,25,cnn,80.38525652898686,5150,5648,84.27184466019418,76.84135977337111,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.04,75.79204662968883,4989,5648,80.7977550611345,71.37039660056658,300,True,False,True,True
9,8,25,cnn,80.91588785046729,5052,5648,85.68883610451306,76.64660056657223,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.045,75.86338121967462,4863,5648,81.98642813078347,70.59135977337111,300,True,False,True,True
10,8,25,cnn,80.96465390279823,5216,5648,84.31748466257669,77.86827195467423,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.05,74.90376490470378,5003,5648,79.73216070357785,70.62677053824362,300,True,False,True,True
11,8,25,cnn,81.1679911291813,5174,5648,84.88596830305373,77.76203966005666,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.060000000000000005,73.81828474384375,4951,5648,79.0143405372652,69.26345609065156,300,True,False,True,True
12,8,25,cnn,81.25233644859811,5052,5648,86.04513064133016,76.96529745042493,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.07,73.57502908103916,4668,5648,81.29820051413881,67.19192634560906,300,True,False,True,True
13,8,25,cnn,80.859375,5104,5648,85.16849529780565,76.96529745042493,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.08000000000000002,72.32850241545894,4702,5648,79.60442364951085,66.27124645892351,300,True,False,True,True
