,batch_size,char_embeddings_dim,char_embeddings_type,clean_f1,clean_n_predicted_entities,clean_n_true_entities,clean_precision,clean_recall,dropout_rate,embeddings_dropout,epochs,filter_width,learning_rate,learning_rate_decay,n_filters,net_type,noise_level,noised_f1,noised_n_predicted_entities,noised_n_true_entities,noised_precision,noised_recall,token_embeddings_dim,use_batch_norm,use_capitalization,use_char_embeddins,use_crf
0,8,25,cnn,80.54281703322415,5037,5648,85.42783402819138,76.18626062322946,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.0,80.47547734930738,5036,5648,85.36536934074662,76.11543909348443,300,True,False,True,True
1,8,25,cnn,79.3323330832708,5016,5648,84.33014354066985,74.89376770538243,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.005,78.59497127789811,4971,5648,83.94689197344599,73.88456090651557,300,True,False,True,True
2,8,25,cnn,81.12891207153501,5088,5648,85.59355345911949,77.10694050991502,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.01,79.6962879640045,5020,5648,84.6812749003984,75.26558073654391,300,True,False,True,True
3,8,25,cnn,80.70789934556181,5201,5648,84.17611997692751,77.51416430594901,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.015,78.83779032108818,5159,5648,82.57414227563481,75.42492917847025,300,True,False,True,True
4,8,25,cnn,80.18894137260351,5149,5648,84.07457758788114,76.64660056657223,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.02,77.95467315976775,5030,5648,82.74353876739562,73.68980169971671,300,True,False,True,True
5,8,25,cnn,81.46849921593949,5193,5648,85.03755054881572,78.18696883852691,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.025,77.95663906206383,5099,5648,82.15336340458913,74.16784702549575,300,True,False,True,True
6,8,25,cnn,80.67980203567092,5061,5648,85.35862477771191,76.48725212464589,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.03,76.78334910122989,4922,5648,82.44616009752133,71.84844192634561,300,True,False,True,True
7,8,25,cnn,81.18094884411846,5123,5648,85.340620730041,77.40793201133144,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.035,76.68676969468527,4964,5648,81.97018533440773,72.04320113314448,300,True,False,True,True
8,8,25,cnn,80.98958333333334,5104,5648,85.30564263322884,77.08923512747876,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.04,76.54904928578186,4923,5648,82.18565915092424,71.63597733711048,300,True,False,True,True
9,8,25,cnn,80.99434189778313,5133,5648,85.05747126436782,77.30169971671388,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.045,75.95484477892757,4982,5648,81.03171417101565,71.47662889518413,300,True,False,True,True
10,8,25,cnn,80.72887907233572,5218,5648,84.05519356075125,77.65580736543909,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.05,75.28730262543212,5055,5648,79.70326409495549,71.33498583569406,300,True,False,True,True
11,8,25,cnn,80.86482490991408,5175,5648,84.56038647342996,77.47875354107649,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.060000000000000005,74.2207484604453,4907,5648,79.82474016710822,69.35198300283287,300,True,False,True,True
12,8,25,cnn,81.05833956619297,5048,5648,85.87559429477021,76.7528328611898,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.07,74.0905572755418,4688,5648,81.67662116040955,67.79390934844193,300,True,False,True,True
13,8,25,cnn,81.75669415361808,5145,5648,85.75315840621963,78.11614730878188,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.08000000000000002,72.24022878932317,4842,5648,78.25278810408922,67.0856940509915,300,True,False,True,True
