,batch_size,cell_type,char_embeddings_dim,char_embeddings_type,clean_f1,clean_n_predicted_entities,clean_n_true_entities,clean_precision,clean_recall,dropout_rate,embeddings_dropout,epochs,filter_width,learning_rate,learning_rate_decay,n_filters,net_type,noise_level,noised_f1,noised_n_predicted_entities,noised_n_true_entities,noised_precision,noised_recall,token_embeddings_dim,use_batch_norm,use_capitalization,use_char_embeddins,use_crf
0,8,,25,cnn,4.84076433121019,65,720,29.23076923076923,2.6388888888888884,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.0,4.84076433121019,65,720,29.23076923076923,2.6388888888888884,300,True,False,True,True
1,8,,25,cnn,3.133159268929504,46,720,26.08695652173913,1.6666666666666667,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.005,3.141361256544503,44,720,27.272727272727266,1.6666666666666667,300,True,False,True,True
2,8,,25,cnn,14.271356783919597,275,720,25.818181818181817,9.86111111111111,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.01,14.01015228426396,265,720,26.037735849056602,9.583333333333334,300,True,False,True,True
3,8,,25,cnn,14.5681581685744,241,720,29.04564315352697,9.722222222222221,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.015,14.922279792746117,245,720,29.387755102040817,10.0,300,True,False,True,True
4,8,,25,cnn,2.642007926023778,37,720,27.027027027027028,1.3888888888888888,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.02,2.894736842105263,40,720,27.5,1.5277777777777777,300,True,False,True,True
5,8,,25,cnn,0.0,0,720,0.0,0.0,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.025,0.0,0,720,0.0,0.0,300,True,False,True,True
6,8,,25,cnn,6.6820276497695845,148,720,19.594594594594593,4.027777777777778,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.03,6.345475910693302,131,720,20.610687022900763,3.75,300,True,False,True,True
7,8,,25,cnn,3.6553524804177546,46,720,30.434782608695652,1.9444444444444444,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.035,3.669724770642202,43,720,32.558139534883715,1.9444444444444444,300,True,False,True,True
8,8,,25,cnn,5.852417302798982,66,720,34.84848484848485,3.1944444444444446,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.04,4.387096774193547,55,720,30.90909090909091,2.3611111111111107,300,True,False,True,True
9,8,,25,cnn,1.3280212483399734,33,720,15.151515151515152,0.6944444444444444,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.045,2.086049543676662,47,720,17.021276595744677,1.111111111111111,300,True,False,True,True
10,8,,25,cnn,3.2085561497326207,28,720,42.857142857142854,1.6666666666666667,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.05,2.9100529100529102,36,720,30.555555555555557,1.5277777777777777,300,True,False,True,True
11,8,,25,cnn,0.5471956224350204,11,720,18.181818181818183,0.27777777777777773,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.060000000000000005,0.27173913043478254,16,720,6.25,0.13888888888888887,300,True,False,True,True
12,8,,25,cnn,5.612244897959185,64,720,34.37499999999999,3.0555555555555562,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.07,5.426356589147287,54,720,38.888888888888886,2.9166666666666665,300,True,False,True,True
13,8,,25,cnn,3.4712950600801067,29,720,44.827586206896555,1.8055555555555556,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.08000000000000002,2.677376171352075,27,720,37.03703703703704,1.3888888888888888,300,True,False,True,True
14,8,,25,cnn,5.626598465473145,62,720,35.483870967741936,3.0555555555555554,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.09000000000000001,5.534591194968553,75,720,29.333333333333332,3.0555555555555554,300,True,False,True,True
15,8,,25,cnn,0.553250345781466,3,720,66.66666666666666,0.27777777777777773,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.1,0.27397260273972596,10,720,10.0,0.13888888888888887,300,True,False,True,True
16,8,,25,cnn,0.8230452674897121,9,720,33.333333333333336,0.4166666666666667,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.11000000000000001,1.0781671159029647,22,720,18.181818181818183,0.5555555555555555,300,True,False,True,True
17,8,,25,cnn,1.6326530612244898,15,720,40.0,0.8333333333333334,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.12000000000000001,2.422611036339166,23,720,39.1304347826087,1.2500000000000002,300,True,False,True,True
18,8,,25,cnn,2.67022696929239,29,720,34.48275862068966,1.3888888888888888,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.13,2.6178010471204187,44,720,22.727272727272727,1.3888888888888888,300,True,False,True,True
19,8,,25,cnn,2.3936170212765964,32,720,28.125,1.2500000000000002,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.14,2.8985507246376807,39,720,28.205128205128204,1.5277777777777777,300,True,False,True,True
20,8,,25,cnn,1.08991825613079,14,720,28.571428571428573,0.5555555555555555,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.15000000000000002,0.5412719891745601,19,720,10.526315789473685,0.27777777777777773,300,True,False,True,True
21,8,,25,cnn,1.8617021276595742,32,720,21.874999999999996,0.9722222222222221,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.16000000000000003,3.655352480417754,46,720,30.434782608695652,1.9444444444444442,300,True,False,True,True
22,8,,25,cnn,0.2766251728907331,3,720,33.33333333333333,0.1388888888888889,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.17000000000000004,0.0,7,720,0.0,0.0,300,True,False,True,True
23,8,,25,cnn,3.3376123234916557,59,720,22.033898305084747,1.8055555555555556,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.18000000000000005,1.2853470437017993,58,720,8.620689655172415,0.6944444444444444,300,True,False,True,True
24,8,,25,cnn,0.0,1,720,0.0,0.0,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.19,0.2762430939226519,4,720,25.0,0.13888888888888887,300,True,False,True,True
25,8,,25,cnn,0.8086253369272238,22,720,13.636363636363633,0.4166666666666667,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.2,1.0512483574244413,41,720,9.75609756097561,0.5555555555555555,300,True,False,True,True
