,batch_size,cell_type,char_embeddings_dim,char_embeddings_type,clean_f1,clean_n_predicted_entities,clean_n_true_entities,clean_precision,clean_recall,dropout_rate,embeddings_dropout,epochs,filter_width,learning_rate,learning_rate_decay,logging,n_filters,net_type,noise_level,noised_f1,noised_n_predicted_entities,noised_n_true_entities,noised_precision,noised_recall,token_embeddings_dim,use_batch_norm,use_capitalization,use_char_embeddins,use_crf
0,8,,25,cnn,12.100456621004566,156,720,33.97435897435897,7.361111111111111,0.5,True,30,7,0.005,0.707,False,"[128, 128]",cnn,0.0,12.100456621004566,156,720,33.97435897435897,7.361111111111111,300,True,False,True,True
1,8,,25,cnn,5.174644243208279,53,720,37.735849056603776,2.7777777777777777,0.5,True,30,7,0.005,0.707,False,"[128, 128]",cnn,0.005,4.915912031047866,53,720,35.84905660377358,2.6388888888888893,300,True,False,True,True
2,8,,25,cnn,18.34862385321101,261,720,34.48275862068966,12.5,0.5,True,30,7,0.005,0.707,False,"[128, 128]",cnn,0.01,18.458417849898577,266,720,34.21052631578947,12.63888888888889,300,True,False,True,True
3,8,,25,cnn,17.18582169709989,211,720,37.91469194312796,11.11111111111111,0.5,True,30,7,0.005,0.707,False,"[128, 128]",cnn,0.015,16.576964477933263,209,720,36.8421052631579,10.694444444444445,300,True,False,True,True
4,8,,25,cnn,5.46583850931677,85,720,25.88235294117647,3.0555555555555554,0.5,True,30,7,0.005,0.707,False,"[128, 128]",cnn,0.02,5.217391304347826,85,720,24.705882352941178,2.9166666666666665,300,True,False,True,True
5,8,,25,cnn,13.551401869158878,136,720,42.64705882352941,8.055555555555555,0.5,True,30,7,0.005,0.707,False,"[128, 128]",cnn,0.025,10.722610722610723,138,720,33.333333333333336,6.388888888888889,300,True,False,True,True
6,8,,25,cnn,15.712682379349046,171,720,40.93567251461988,9.722222222222221,0.5,True,30,7,0.005,0.707,False,"[128, 128]",cnn,0.03,14.864864864864865,168,720,39.285714285714285,9.166666666666666,300,True,False,True,True
7,8,,25,cnn,13.348946135831383,134,720,42.53731343283582,7.916666666666667,0.5,True,30,7,0.005,0.707,False,"[128, 128]",cnn,0.035,11.347517730496454,126,720,38.095238095238095,6.666666666666667,300,True,False,True,True
8,8,,25,cnn,10.078387458006718,173,720,26.01156069364162,6.25,0.5,True,30,7,0.005,0.707,False,"[128, 128]",cnn,0.04,10.549943883277217,171,720,27.485380116959064,6.527777777777778,300,True,False,True,True
9,8,,25,cnn,7.196029776674937,86,720,33.72093023255814,4.027777777777778,0.5,True,30,7,0.005,0.707,False,"[128, 128]",cnn,0.045,6.973848069738482,83,720,33.734939759036145,3.888888888888889,300,True,False,True,True
10,8,,25,cnn,4.381443298969072,56,720,30.357142857142858,2.3611111111111107,0.5,True,30,7,0.005,0.707,False,"[128, 128]",cnn,0.05,4.113110539845758,58,720,27.58620689655173,2.222222222222222,300,True,False,True,True
11,8,,25,cnn,14.759358288770054,215,720,32.093023255813954,9.583333333333334,0.5,True,30,7,0.005,0.707,False,"[128, 128]",cnn,0.060000000000000005,12.846068660022148,183,720,31.693989071038253,8.055555555555555,300,True,False,True,True
12,8,,25,cnn,12.359550561797752,170,720,32.35294117647059,7.638888888888889,0.5,True,30,7,0.005,0.707,False,"[128, 128]",cnn,0.07,12.05098493626883,143,720,36.36363636363637,7.222222222222222,300,True,False,True,True
13,8,,25,cnn,12.527472527472527,190,720,30.0,7.916666666666667,0.5,True,30,7,0.005,0.707,False,"[128, 128]",cnn,0.08000000000000002,12.837837837837839,168,720,33.92857142857143,7.916666666666667,300,True,False,True,True
14,8,,25,cnn,8.749999999999998,80,720,43.75,4.861111111111111,0.5,True,30,7,0.005,0.707,False,"[128, 128]",cnn,0.09000000000000001,7.740324594257177,81,720,38.27160493827161,4.305555555555555,300,True,False,True,True
15,8,,25,cnn,6.624203821656051,65,720,40.0,3.611111111111111,0.5,True,30,7,0.005,0.707,False,"[128, 128]",cnn,0.1,6.59062103929024,69,720,37.68115942028985,3.611111111111111,300,True,False,True,True
16,8,,25,cnn,10.939357907253273,121,720,38.01652892561984,6.388888888888889,0.5,True,30,7,0.005,0.707,False,"[128, 128]",cnn,0.11000000000000001,9.189842805320435,107,720,35.51401869158879,5.277777777777778,300,True,False,True,True
17,8,,25,cnn,7.644882860665843,91,720,34.065934065934066,4.305555555555555,0.5,True,30,7,0.005,0.707,False,"[128, 128]",cnn,0.12000000000000001,7.434944237918217,87,720,34.48275862068966,4.166666666666667,300,True,False,True,True
18,8,,25,cnn,2.416107382550336,25,720,36.00000000000001,1.2500000000000002,0.5,True,30,7,0.005,0.707,False,"[128, 128]",cnn,0.13,3.4482758620689657,34,720,38.23529411764706,1.8055555555555556,300,True,False,True,True
19,8,,25,cnn,4.922279792746114,52,720,36.53846153846154,2.6388888888888884,0.5,True,30,7,0.005,0.707,False,"[128, 128]",cnn,0.14,4.102564102564103,60,720,26.666666666666668,2.2222222222222223,300,True,False,True,True
20,8,,25,cnn,3.6745406824146984,42,720,33.333333333333336,1.9444444444444444,0.5,True,30,7,0.005,0.707,False,"[128, 128]",cnn,0.15000000000000002,3.911342894393742,47,720,31.914893617021278,2.0833333333333335,300,True,False,True,True
21,8,,25,cnn,3.7086092715231787,35,720,40.00000000000001,1.9444444444444444,0.5,True,30,7,0.005,0.707,False,"[128, 128]",cnn,0.16000000000000003,3.4031413612565444,44,720,29.545454545454547,1.8055555555555556,300,True,False,True,True
22,8,,25,cnn,1.8592297476759627,33,720,21.21212121212121,0.9722222222222221,0.5,True,30,7,0.005,0.707,False,"[128, 128]",cnn,0.17000000000000004,3.3766233766233764,50,720,26.0,1.8055555555555556,300,True,False,True,True
23,8,,25,cnn,2.6737967914438507,28,720,35.714285714285715,1.388888888888889,0.5,True,30,7,0.005,0.707,False,"[128, 128]",cnn,0.18000000000000005,2.3809523809523805,36,720,24.999999999999996,1.2499999999999998,300,True,False,True,True
24,8,,25,cnn,1.6260162601626016,18,720,33.333333333333336,0.8333333333333334,0.5,True,30,7,0.005,0.707,False,"[128, 128]",cnn,0.19,2.921646746347941,33,720,33.333333333333336,1.5277777777777777,300,True,False,True,True
25,8,,25,cnn,0.8174386920980927,14,720,21.428571428571427,0.4166666666666667,0.5,True,30,7,0.005,0.707,False,"[128, 128]",cnn,0.2,2.638522427440633,38,720,26.31578947368421,1.3888888888888888,300,True,False,True,True
